pvu,pvc,nu1,nu2,control
0.0,0.0,0.8,0.8,False
0.0,0.0,0.8,0.8,False
0.0,0.0,0.8,0.8,False
1.0,0.0,0.8,0.8,False
0.02,0.07,0.8,0.8,False
1.0,0.01,0.8,0.8,False
1.0,0.0,0.8,0.8,False
0.16,0.24,0.8,0.8,False
0.0,0.0,0.8,0.8,False
0.0,0.0,0.8,0.8,False
1.0,0.0,0.8,0.8,False
1.0,0.0,0.8,0.8,False
1.0,0.0,0.8,0.8,False
1.0,0.0,0.8,0.8,False
1.0,0.0,0.8,0.8,False
0.0,0.0,0.8,0.8,False
0.0,0.0,0.8,0.8,False
0.0,0.0,0.8,0.8,False
0.01,0.04,0.8,0.8,False
0.0,0.0,0.8,0.8,False
0.0,0.01,0.8,0.8,False
0.01,0.04,0.8,0.8,False
1.0,0.0,0.8,0.8,False
0.0,0.0,0.8,0.8,False
0.0,0.0,0.8,0.8,False
0.0,0.0,0.8,0.8,False
1.0,0.0,0.8,0.8,False
1.0,0.0,0.8,0.8,False
1.0,0.0,0.8,0.8,False
1.0,0.0,0.8,0.8,False
1.0,0.0,0.8,0.8,False
0.0,0.0,0.8,0.8,False
1.0,0.0,0.8,0.8,False
0.0,0.0,0.8,0.8,False
1.0,0.0,0.8,0.8,False
1.0,0.0,0.8,0.8,False
0.0,0.0,0.8,0.8,False
1.0,0.0,0.8,0.8,False
0.0,0.01,0.8,0.8,False
1.0,0.0,0.8,0.8,False
0.0,0.0,0.8,0.8,False
0.0,0.0,0.8,0.8,False
1.0,0.0,0.8,0.8,False
1.0,0.03,0.8,0.8,False
1.0,0.0,0.8,0.8,False
0.0,0.0,0.8,0.8,False
1.0,0.0,0.8,0.8,False
1.0,0.0,0.8,0.8,False
1.0,0.0,0.8,0.8,False
1.0,0.0,0.8,0.8,False
1.0,0.0,0.8,0.8,False
0.0,0.0,0.8,0.8,False
1.0,0.0,0.8,0.8,False
0.0,0.0,0.8,0.8,False
1.0,0.0,0.8,0.8,False
0.0,0.0,0.8,0.8,False
0.0,0.0,0.8,0.8,False
1.0,0.0,0.8,0.8,False
1.0,0.0,0.8,0.8,False
1.0,0.0,0.8,0.8,False
0.0,0.0,0.8,0.8,False
1.0,0.0,0.8,0.8,False
0.0,0.0,0.8,0.8,False
0.0,0.0,0.8,0.8,False
0.07,0.12,0.8,0.8,False
0.0,0.0,0.8,0.8,False
0.0,0.0,0.8,0.8,False
0.16,0.26,0.8,0.8,False
0.0,0.0,0.8,0.8,False
1.0,0.06,0.8,0.8,False
0.0,0.0,0.8,0.8,False
0.0,0.0,0.8,0.8,False
1.0,0.0,0.8,0.8,False
0.0,0.0,0.8,0.8,False
0.08,0.12,0.8,0.8,False
0.0,0.0,0.8,0.8,False
1.0,0.0,0.8,0.8,False
0.0,0.0,0.8,0.8,False
0.04,0.11,0.8,0.8,False
0.0,0.0,0.8,0.8,False
1.0,0.0,0.8,0.8,False
1.0,0.0,0.8,0.8,False
0.01,0.03,0.8,0.8,False
1.0,0.0,0.8,0.8,False
0.0,0.0,0.8,0.8,False
1.0,0.0,0.8,0.8,False
0.0,0.0,0.8,0.8,False
1.0,0.0,0.8,0.8,False
1.0,0.0,0.8,0.8,False
0.0,0.01,0.8,0.8,False
0.0,0.0,0.8,0.8,False
1.0,0.0,0.8,0.8,False
0.0,0.0,0.8,0.8,False
1.0,0.0,0.8,0.8,False
1.0,0.0,0.8,0.8,False
0.0,0.0,0.8,0.8,False
1.0,0.0,0.8,0.8,False
0.0,0.0,0.8,0.8,False
0.0,0.0,0.8,0.8,False
0.0,0.0,0.8,0.8,False
