pvu,pvc,nu1,nu2,control
0.02,0.0,0.4,0.6,False
0.0,0.0,0.4,0.6,False
1.0,0.03,0.4,0.6,False
0.0,0.0,0.4,0.6,False
0.03,0.0,0.4,0.6,False
0.0,0.0,0.4,0.6,False
1.0,0.0,0.4,0.6,False
1.0,0.0,0.4,0.6,False
1.0,0.02,0.4,0.6,False
0.0,0.0,0.4,0.6,False
1.0,0.02,0.4,0.6,False
1.0,0.0,0.4,0.6,False
1.0,0.0,0.4,0.6,False
1.0,0.0,0.4,0.6,False
1.0,0.01,0.4,0.6,False
0.0,0.0,0.4,0.6,False
0.0,0.0,0.4,0.6,False
1.0,0.0,0.4,0.6,False
0.0,0.03,0.4,0.6,False
1.0,0.03,0.4,0.6,False
1.0,0.0,0.4,0.6,False
1.0,0.0,0.4,0.6,False
0.0,0.0,0.4,0.6,False
0.0,0.0,0.4,0.6,False
0.03,0.03,0.4,0.6,False
0.0,0.0,0.4,0.6,False
1.0,0.0,0.4,0.6,False
0.0,0.0,0.4,0.6,False
1.0,0.0,0.4,0.6,False
1.0,0.0,0.4,0.6,False
0.0,0.0,0.4,0.6,False
1.0,0.0,0.4,0.6,False
1.0,0.01,0.4,0.6,False
1.0,0.0,0.4,0.6,False
0.0,0.0,0.4,0.6,False
1.0,0.0,0.4,0.6,False
0.01,0.0,0.4,0.6,False
0.01,0.0,0.4,0.6,False
0.0,0.0,0.4,0.6,False
0.0,0.0,0.4,0.6,False
1.0,0.0,0.4,0.6,False
0.0,0.0,0.4,0.6,False
0.02,0.0,0.4,0.6,False
0.0,0.0,0.4,0.6,False
1.0,0.0,0.4,0.6,False
0.0,0.0,0.4,0.6,False
1.0,0.0,0.4,0.6,False
0.0,0.0,0.4,0.6,False
1.0,0.0,0.4,0.6,False
1.0,0.0,0.4,0.6,False
1.0,0.0,0.4,0.6,False
0.0,0.0,0.4,0.6,False
0.0,0.0,0.4,0.6,False
0.0,0.0,0.4,0.6,False
0.0,0.02,0.4,0.6,False
1.0,0.04,0.4,0.6,False
0.0,0.0,0.4,0.6,False
0.0,0.0,0.4,0.6,False
0.04,0.03,0.4,0.6,False
1.0,0.0,0.4,0.6,False
0.0,0.0,0.4,0.6,False
0.0,0.0,0.4,0.6,False
0.02,0.0,0.4,0.6,False
1.0,0.0,0.4,0.6,False
1.0,0.0,0.4,0.6,False
0.0,0.0,0.4,0.6,False
1.0,0.0,0.4,0.6,False
0.0,0.0,0.4,0.6,False
1.0,0.0,0.4,0.6,False
0.02,0.0,0.4,0.6,False
0.0,0.0,0.4,0.6,False
0.0,0.0,0.4,0.6,False
0.0,0.0,0.4,0.6,False
1.0,0.0,0.4,0.6,False
1.0,0.03,0.4,0.6,False
1.0,0.0,0.4,0.6,False
1.0,0.01,0.4,0.6,False
0.0,0.0,0.4,0.6,False
0.03,0.01,0.4,0.6,False
1.0,0.0,0.4,0.6,False
1.0,0.0,0.4,0.6,False
1.0,0.03,0.4,0.6,False
0.0,0.02,0.4,0.6,False
0.0,0.0,0.4,0.6,False
1.0,0.0,0.4,0.6,False
0.0,0.0,0.4,0.6,False
1.0,0.0,0.4,0.6,False
1.0,0.0,0.4,0.6,False
1.0,0.0,0.4,0.6,False
0.0,0.0,0.4,0.6,False
0.0,0.0,0.4,0.6,False
1.0,0.01,0.4,0.6,False
0.0,0.0,0.4,0.6,False
0.05,0.04,0.4,0.6,False
0.0,0.0,0.4,0.6,False
0.0,0.0,0.4,0.6,False
0.03,0.0,0.4,0.6,False
1.0,0.0,0.4,0.6,False
1.0,0.0,0.4,0.6,False
0.0,0.0,0.4,0.6,False
