pvu,pvc,nu1,nu2,control
0.0,0.0,0.6,0.4,False
0.0,0.0,0.6,0.4,False
0.0,0.0,0.6,0.4,False
0.0,0.0,0.6,0.4,False
0.0,0.0,0.6,0.4,False
1.0,0.0,0.6,0.4,False
1.0,0.0,0.6,0.4,False
1.0,0.0,0.6,0.4,False
1.0,0.0,0.6,0.4,False
1.0,0.0,0.6,0.4,False
1.0,0.0,0.6,0.4,False
1.0,0.0,0.6,0.4,False
0.0,0.0,0.6,0.4,False
0.0,0.0,0.6,0.4,False
0.0,0.0,0.6,0.4,False
1.0,0.0,0.6,0.4,False
0.0,0.0,0.6,0.4,False
0.06,0.2,0.6,0.4,False
1.0,0.0,0.6,0.4,False
0.0,0.0,0.6,0.4,False
0.0,0.0,0.6,0.4,False
1.0,0.0,0.6,0.4,False
0.0,0.0,0.6,0.4,False
1.0,0.0,0.6,0.4,False
1.0,0.0,0.6,0.4,False
0.0,0.0,0.6,0.4,False
1.0,0.0,0.6,0.4,False
0.0,0.0,0.6,0.4,False
0.0,0.0,0.6,0.4,False
0.0,0.0,0.6,0.4,False
0.0,0.0,0.6,0.4,False
0.0,0.0,0.6,0.4,False
0.0,0.0,0.6,0.4,False
0.0,0.0,0.6,0.4,False
1.0,0.02,0.6,0.4,False
0.0,0.0,0.6,0.4,False
1.0,0.0,0.6,0.4,False
1.0,0.0,0.6,0.4,False
0.0,0.0,0.6,0.4,False
0.0,0.0,0.6,0.4,False
1.0,0.0,0.6,0.4,False
1.0,0.0,0.6,0.4,False
1.0,0.0,0.6,0.4,False
0.03,0.09,0.6,0.4,False
0.0,0.01,0.6,0.4,False
0.0,0.0,0.6,0.4,False
0.0,0.0,0.6,0.4,False
0.0,0.0,0.6,0.4,False
1.0,0.0,0.6,0.4,False
0.0,0.0,0.6,0.4,False
1.0,0.0,0.6,0.4,False
1.0,0.0,0.6,0.4,False
0.0,0.0,0.6,0.4,False
0.0,0.0,0.6,0.4,False
1.0,0.0,0.6,0.4,False
1.0,0.0,0.6,0.4,False
1.0,0.0,0.6,0.4,False
0.0,0.0,0.6,0.4,False
1.0,0.0,0.6,0.4,False
0.0,0.0,0.6,0.4,False
0.0,0.0,0.6,0.4,False
0.0,0.02,0.6,0.4,False
1.0,0.0,0.6,0.4,False
0.0,0.0,0.6,0.4,False
1.0,0.0,0.6,0.4,False
1.0,0.0,0.6,0.4,False
1.0,0.0,0.6,0.4,False
0.0,0.0,0.6,0.4,False
0.0,0.0,0.6,0.4,False
0.0,0.0,0.6,0.4,False
1.0,0.0,0.6,0.4,False
0.02,0.06,0.6,0.4,False
0.0,0.0,0.6,0.4,False
0.0,0.0,0.6,0.4,False
0.0,0.0,0.6,0.4,False
1.0,0.0,0.6,0.4,False
1.0,0.0,0.6,0.4,False
1.0,0.0,0.6,0.4,False
1.0,0.0,0.6,0.4,False
0.0,0.0,0.6,0.4,False
1.0,0.0,0.6,0.4,False
1.0,0.0,0.6,0.4,False
0.0,0.0,0.6,0.4,False
0.0,0.0,0.6,0.4,False
0.0,0.0,0.6,0.4,False
0.0,0.0,0.6,0.4,False
1.0,0.02,0.6,0.4,False
1.0,0.0,0.6,0.4,False
1.0,0.0,0.6,0.4,False
0.0,0.0,0.6,0.4,False
1.0,0.0,0.6,0.4,False
0.0,0.0,0.6,0.4,False
0.0,0.0,0.6,0.4,False
0.0,0.01,0.6,0.4,False
0.0,0.0,0.6,0.4,False
0.0,0.0,0.6,0.4,False
0.03,0.09,0.6,0.4,False
1.0,0.0,0.6,0.4,False
1.0,0.0,0.6,0.4,False
1.0,0.0,0.6,0.4,False
