pvu,pvc,nu1,nu2,control
0.0,0.03,1.0,0.6,False
0.0,0.0,1.0,0.6,False
1.0,0.03,1.0,0.6,False
0.0,0.03,1.0,0.6,False
1.0,0.03,1.0,0.6,False
1.0,0.0,1.0,0.6,False
0.0,0.03,1.0,0.6,False
1.0,0.02,1.0,0.6,False
0.0,0.01,1.0,0.6,False
0.0,0.0,1.0,0.6,False
0.02,0.03,1.0,0.6,False
1.0,0.03,1.0,0.6,False
1.0,0.0,1.0,0.6,False
0.0,0.05,1.0,0.6,False
1.0,0.0,1.0,0.6,False
0.0,0.0,1.0,0.6,False
0.0,0.0,1.0,0.6,False
0.0,0.0,1.0,0.6,False
1.0,0.03,1.0,0.6,False
0.0,0.0,1.0,0.6,False
0.0,0.01,1.0,0.6,False
1.0,0.0,1.0,0.6,False
0.06,0.1,1.0,0.6,False
1.0,0.0,1.0,0.6,False
0.0,0.01,1.0,0.6,False
0.0,0.03,1.0,0.6,False
0.05,0.09,1.0,0.6,False
0.0,0.0,1.0,0.6,False
0.0,0.0,1.0,0.6,False
1.0,0.03,1.0,0.6,False
0.0,0.01,1.0,0.6,False
0.0,0.0,1.0,0.6,False
1.0,0.0,1.0,0.6,False
1.0,0.03,1.0,0.6,False
0.0,0.04,1.0,0.6,False
1.0,0.0,1.0,0.6,False
1.0,0.0,1.0,0.6,False
1.0,0.03,1.0,0.6,False
0.0,0.01,1.0,0.6,False
1.0,0.03,1.0,0.6,False
1.0,0.0,1.0,0.6,False
0.0,0.0,1.0,0.6,False
1.0,0.01,1.0,0.6,False
0.0,0.0,1.0,0.6,False
0.0,0.0,1.0,0.6,False
0.0,0.01,1.0,0.6,False
0.01,0.04,1.0,0.6,False
0.0,0.0,1.0,0.6,False
1.0,0.02,1.0,0.6,False
0.0,0.01,1.0,0.6,False
0.01,0.01,1.0,0.6,False
1.0,0.0,1.0,0.6,False
0.0,0.03,1.0,0.6,False
0.0,0.0,1.0,0.6,False
0.0,0.01,1.0,0.6,False
0.19,0.24,1.0,0.6,False
0.0,0.03,1.0,0.6,False
1.0,0.0,1.0,0.6,False
1.0,0.01,1.0,0.6,False
0.0,0.01,1.0,0.6,False
0.0,0.0,1.0,0.6,False
0.03,0.04,1.0,0.6,False
1.0,0.0,1.0,0.6,False
1.0,0.01,1.0,0.6,False
1.0,0.03,1.0,0.6,False
1.0,0.03,1.0,0.6,False
0.0,0.0,1.0,0.6,False
0.11,0.15,1.0,0.6,False
1.0,0.0,1.0,0.6,False
0.0,0.0,1.0,0.6,False
0.0,0.0,1.0,0.6,False
0.0,0.01,1.0,0.6,False
0.0,0.0,1.0,0.6,False
1.0,0.03,1.0,0.6,False
0.06,0.12,1.0,0.6,False
0.0,0.01,1.0,0.6,False
0.0,0.0,1.0,0.6,False
1.0,0.01,1.0,0.6,False
1.0,0.0,1.0,0.6,False
0.0,0.0,1.0,0.6,False
0.0,0.03,1.0,0.6,False
1.0,0.03,1.0,0.6,False
1.0,0.03,1.0,0.6,False
1.0,0.03,1.0,0.6,False
0.02,0.01,1.0,0.6,False
0.03,0.11,1.0,0.6,False
0.0,0.01,1.0,0.6,False
1.0,0.03,1.0,0.6,False
0.0,0.0,1.0,0.6,False
1.0,0.03,1.0,0.6,False
1.0,0.0,1.0,0.6,False
1.0,0.0,1.0,0.6,False
1.0,0.02,1.0,0.6,False
0.04,0.11,1.0,0.6,False
1.0,0.02,1.0,0.6,False
0.01,0.01,1.0,0.6,False
0.0,0.01,1.0,0.6,False
0.0,0.01,1.0,0.6,False
1.0,0.0,1.0,0.6,False
0.0,0.03,1.0,0.6,False
