pvu,pvc,nu1,nu2,control
1.0,0.0,0.6,0.8,False
1.0,0.0,0.6,0.8,False
1.0,0.0,0.6,0.8,False
1.0,0.0,0.6,0.8,False
0.0,0.0,0.6,0.8,False
0.0,0.0,0.6,0.8,False
0.0,0.0,0.6,0.8,False
0.0,0.0,0.6,0.8,False
0.0,0.0,0.6,0.8,False
1.0,0.0,0.6,0.8,False
0.0,0.0,0.6,0.8,False
0.0,0.01,0.6,0.8,False
1.0,0.0,0.6,0.8,False
1.0,0.0,0.6,0.8,False
1.0,0.0,0.6,0.8,False
0.0,0.01,0.6,0.8,False
0.05,0.12,0.6,0.8,False
0.0,0.0,0.6,0.8,False
0.0,0.01,0.6,0.8,False
0.0,0.0,0.6,0.8,False
1.0,0.0,0.6,0.8,False
1.0,0.0,0.6,0.8,False
1.0,0.0,0.6,0.8,False
1.0,0.0,0.6,0.8,False
1.0,0.0,0.6,0.8,False
1.0,0.0,0.6,0.8,False
0.0,0.0,0.6,0.8,False
0.0,0.0,0.6,0.8,False
0.0,0.0,0.6,0.8,False
0.0,0.0,0.6,0.8,False
0.0,0.0,0.6,0.8,False
1.0,0.0,0.6,0.8,False
1.0,0.0,0.6,0.8,False
0.0,0.0,0.6,0.8,False
1.0,0.0,0.6,0.8,False
1.0,0.0,0.6,0.8,False
1.0,0.0,0.6,0.8,False
1.0,0.0,0.6,0.8,False
1.0,0.0,0.6,0.8,False
0.0,0.0,0.6,0.8,False
0.0,0.0,0.6,0.8,False
0.0,0.0,0.6,0.8,False
1.0,0.0,0.6,0.8,False
0.0,0.02,0.6,0.8,False
0.0,0.0,0.6,0.8,False
0.0,0.0,0.6,0.8,False
1.0,0.0,0.6,0.8,False
1.0,0.0,0.6,0.8,False
0.0,0.04,0.6,0.8,False
1.0,0.0,0.6,0.8,False
1.0,0.0,0.6,0.8,False
0.0,0.0,0.6,0.8,False
1.0,0.0,0.6,0.8,False
1.0,0.0,0.6,0.8,False
0.0,0.0,0.6,0.8,False
0.0,0.0,0.6,0.8,False
1.0,0.02,0.6,0.8,False
0.0,0.01,0.6,0.8,False
0.0,0.0,0.6,0.8,False
0.0,0.02,0.6,0.8,False
1.0,0.0,0.6,0.8,False
0.0,0.0,0.6,0.8,False
0.0,0.0,0.6,0.8,False
0.0,0.0,0.6,0.8,False
0.0,0.0,0.6,0.8,False
0.0,0.0,0.6,0.8,False
1.0,0.0,0.6,0.8,False
1.0,0.01,0.6,0.8,False
1.0,0.0,0.6,0.8,False
0.0,0.0,0.6,0.8,False
0.0,0.0,0.6,0.8,False
1.0,0.0,0.6,0.8,False
1.0,0.0,0.6,0.8,False
1.0,0.0,0.6,0.8,False
0.0,0.0,0.6,0.8,False
1.0,0.0,0.6,0.8,False
0.0,0.01,0.6,0.8,False
0.0,0.0,0.6,0.8,False
1.0,0.01,0.6,0.8,False
0.0,0.0,0.6,0.8,False
1.0,0.0,0.6,0.8,False
1.0,0.0,0.6,0.8,False
1.0,0.0,0.6,0.8,False
0.0,0.0,0.6,0.8,False
0.0,0.0,0.6,0.8,False
1.0,0.01,0.6,0.8,False
0.01,0.1,0.6,0.8,False
0.0,0.0,0.6,0.8,False
1.0,0.0,0.6,0.8,False
0.0,0.01,0.6,0.8,False
0.0,0.0,0.6,0.8,False
1.0,0.0,0.6,0.8,False
0.0,0.0,0.6,0.8,False
1.0,0.0,0.6,0.8,False
1.0,0.0,0.6,0.8,False
1.0,0.0,0.6,0.8,False
0.0,0.01,0.6,0.8,False
1.0,0.02,0.6,0.8,False
0.0,0.0,0.6,0.8,False
1.0,0.0,0.6,0.8,False
