alpha_all;p_value_all;alpha;p_value;xmin
1.81590326774;0.0128;2.7470970071;0.8312;4.0
1.8218810773;0.0056;2.55635943041;0.2176;3.0
1.82753675232;0.034;2.72362352222;0.704;4.0
1.81261868829;0.0208;2.59504790226;0.2604;3.0
1.81534324322;0.0396;2.81004455791;0.95;4.0
1.81494041437;0.0064;2.84922243395;0.9668;5.0
1.81823308146;0.0072;2.69414165926;0.922;4.0
1.81361844102;0.0108;2.9350546961;0.8788;7.0
1.82369972188;0.02;2.73354487633;0.8816;4.0
1.82338353295;0.3584;2.74439766956;0.5996;4.0
1.82012126074;0.2308;2.73730412188;0.6728;4.0
1.80873363919;0.0032;2.89330867384;0.984;5.0
1.81843662062;0.0132;3.1575400035;0.9216;8.0
1.80945081288;0.0268;2.58127266007;0.4208;3.0
1.81579338111;0.1448;2.27655958282;0.1556;2.0
1.81716041634;0.006;2.55186204445;0.4348;3.0
1.8151568751;0.1676;2.52703699703;0.4592;3.0
1.8128202917;0.0476;2.58018337121;0.5548;3.0
1.81624999183;0.072;2.72911319154;0.8852;4.0
1.81809591045;0.05;2.58333060981;0.7344;3.0
1.81803471541;0.0256;2.55535501112;0.8044;3.0
1.82568606632;0.6488;2.51117044513;0.1612;3.0
1.81563736171;0.1816;2.54426541019;0.5732;3.0
1.81931882601;0.0304;2.57919935416;0.8104;3.0
1.8204507718;0.006;2.75876674496;0.9004;4.0
1.82049994057;0.1208;2.71904674162;0.606;4.0
1.81727591745;0.0492;2.73065876104;0.5888;4.0
1.82233591203;0.0944;2.71941462629;0.4092;4.0
1.81215475216;0.0136;2.76192686797;0.756;4.0
1.82091414437;0.2752;2.81079314127;0.938;5.0
1.82196412937;0.0576;2.76373331799;0.8708;4.0
1.82022242367;0.1084;2.92498384159;0.7424;5.0
1.81898494657;0.004;2.73823975108;0.6752;4.0
1.81878791728;0.0548;2.36245116703;0.5448;2.0
1.81599005469;0.0088;2.76480521907;0.8376;4.0
1.81779764153;0.0616;2.541970957;0.9168;3.0
1.81765997872;0.2368;2.81187071241;0.5412;5.0
1.82132839722;0.222;2.49869369679;0.7192;3.0
1.80985885815;0.0164;2.78561603283;0.9796;4.0
1.81652361665;0.0192;2.54937752035;0.6452;3.0
1.81625438644;0.0448;2.85933313684;0.9972;5.0
1.81965412244;0.0256;2.62114395648;0.8564;3.0
1.81404232691;0.0112;2.6449781001;0.5304;3.0
1.81516118304;0.008;2.8777684389;0.668;6.0
1.82091118283;0.1964;2.5365576156;0.4888;3.0
1.82207616149;0.0112;2.76664463064;0.272;4.0
1.81786182256;0.05;2.89166430249;0.6916;6.0
1.81949654705;0.4848;2.95507063768;0.8592;5.0
1.81714506136;0.31;3.00346392658;0.5308;6.0
1.81743663004;0.1216;2.5086192154;0.3284;3.0
1.81743713628;0.0108;2.69371537623;0.9804;4.0
1.8131120492;0.0488;2.92697404105;0.6664;6.0
1.81284291372;0.0292;2.78025420514;0.4524;4.0
1.81813897439;0.3008;3.03068246517;0.6296;6.0
1.81843239057;0.2372;2.86980125998;0.91;5.0
1.81328016338;0.026;2.87724418485;0.984;5.0
1.81567779353;0.0336;2.5480999711;0.7168;3.0
1.81528112155;0.1264;2.56608917024;0.6708;3.0
1.82313211613;0.3164;3.09844387531;0.6592;7.0
1.809501792;0.0132;3.13906456527;0.5692;6.0
1.82102750239;0.056;2.72355623315;0.8356;4.0
1.81861631338;0.2188;3.1344931763;0.884;8.0
1.82087953279;0.0168;2.73928903545;0.988;4.0
1.81294635108;0.0328;2.74555099053;0.612;4.0
1.82387680508;0.3048;2.5604939659;0.4276;3.0
1.82626715129;0.3892;2.82165731822;0.658;5.0
1.8145609905;0.0064;2.80880713654;0.646;4.0
1.82049237614;0.0572;2.84488152795;0.906;5.0
1.81369447661;0.0872;2.57995345659;0.7824;3.0
1.82702630634;0.0376;2.52743697371;0.784;3.0
1.8199208359;0.028;2.57037413464;0.7612;3.0
1.82462106762;0.152;2.54251955178;0.0672;3.0
1.81588795228;0.0488;2.80203750078;0.7548;4.0
1.82099814883;0.1772;2.53276063253;0.6816;3.0
1.81453754762;0.0148;2.5750199478;0.5856;3.0
1.81402117382;0.3372;2.91007882439;0.2836;5.0
1.81603746227;0.0228;2.76876916242;0.9264;4.0
1.81618716285;0.1004;2.89441085836;1.0;5.0
1.80922934509;0.06;2.94638086305;0.8652;5.0
1.82414351781;0.3928;2.54430417673;0.3204;3.0
1.81660858436;0.1048;2.93257650666;0.886;5.0
1.82344361365;0.2696;2.87636117938;0.9312;5.0
1.8211889449;0.0008;2.7936345151;0.7872;7.0
1.81930326382;0.026;2.72847625893;0.7804;4.0
1.81526012023;0.1456;2.30622885285;0.2052;2.0
1.80992566129;0.102;2.82752731176;0.4972;4.0
1.81371251263;0.0592;2.93171086263;0.9712;5.0
1.82602578624;0.0976;2.69565906041;0.8252;4.0
1.81230743203;0.0448;3.02736968892;0.8888;6.0
1.81618680802;0.016;2.93174825293;0.4388;5.0
1.82251093437;0.0212;2.77712543462;0.8664;4.0
1.81815311358;0.0608;2.71036216855;0.982;4.0
1.82121763929;0.1356;3.03331642754;0.766;6.0
1.82183522019;0.028;2.57177832713;0.6488;3.0
1.82195891827;0.4376;2.73912406477;0.5148;4.0
1.82069912904;0.0088;2.83269112521;0.876;4.0
1.81499189739;0.2748;3.25632596176;0.3296;7.0
1.81239470644;0.0592;2.90832790405;0.954;5.0
1.82335908145;0.0796;2.72952223088;0.8616;4.0
1.81666903264;0.0372;2.76289381429;0.6388;4.0
