nu1_all;p_value_all;nu1;p_value;xmin
1.7258858522;0.0;2.86789856607;0.886;6.0
1.71908804776;0.0;2.45149024913;0.1972;3.0
1.72100199344;0.0;2.75024454261;0.062;5.0
1.72497557206;0.0008;2.61757060053;0.6084;4.0
1.72300296684;0.0008;2.57312009661;0.3424;4.0
1.72133087758;0.0;2.80997158993;0.572;5.0
1.72305878834;0.0;2.62923778415;0.2448;4.0
1.72150209152;0.0;2.82874976991;0.7432;5.0
1.71922286693;0.0;2.73667978175;0.2292;5.0
1.71963093125;0.0;2.5967622219;0.5076;4.0
1.72298747507;0.0;2.96091191653;0.9376;7.0
1.7230645318;0.0044;3.25473600787;0.4972;9.0
1.72477784624;0.0004;2.42353894651;0.1752;3.0
1.72434465891;0.0;2.70235042711;0.8904;5.0
1.72420077522;0.016;2.41085300132;0.0792;3.0
1.72382394629;0.0004;3.11423920932;0.3776;9.0
1.72519513123;0.0028;2.70208556762;0.2368;5.0
1.72262280944;0.0044;3.21944546513;0.2112;9.0
1.72456889005;0.0;2.61318832993;0.3356;4.0
1.72496149677;0.0016;2.44394155354;0.5396;3.0
1.7225880701;0.0004;2.58988721203;0.3456;4.0
1.71893607715;0.0;2.86864440299;0.3372;6.0
1.72805767864;0.0116;2.66640828657;0.2264;5.0
1.72243795772;0.0;3.02092765569;0.9472;8.0
1.71829326831;0.0;2.81553010936;0.2296;5.0
1.73018237597;0.0032;2.81553749059;1.0;6.0
1.71881822714;0.0;2.75462355624;0.6544;5.0
1.72640840295;0.0008;3.1253759638;0.7232;11.0
1.72565487615;0.0092;2.42321338798;0.4488;3.0
1.72845273362;0.0044;2.87574082902;0.6272;7.0
1.72947094474;0.0016;2.53748819362;0.4548;4.0
1.71815017227;0.0;2.72576405925;0.5484;5.0
1.71923245547;0.0;2.47117120551;0.4432;3.0
1.71530284634;0.0;2.81979447889;0.6252;5.0
1.72369782557;0.0;2.83054364775;0.9372;7.0
1.71907529119;0.0;2.43906644909;0.376;3.0
1.72032666745;0.0008;2.82485332035;0.5856;6.0
1.71818834015;0.0;2.86261402019;0.5376;6.0
1.72349947479;0.0032;3.41422966423;0.6608;13.0
1.72238825809;0.0;2.82909387075;0.6944;6.0
1.72413846104;0.0;2.44914299304;0.356;3.0
1.72564199145;0.0008;2.43635120618;0.5248;3.0
1.72477298479;0.0;2.42555858628;0.2908;3.0
1.71680756984;0.0;2.76347869488;0.5364;5.0
1.72455037376;0.0;2.88217083547;0.8684;7.0
1.72296211549;0.0;2.60315435071;0.2996;4.0
1.72276084777;0.0;2.83164118588;0.9144;6.0
1.72448280487;0.0012;2.5854517959;0.1024;4.0
1.72321214334;0.0;3.10451870145;0.2544;7.0
1.72251843414;0.0012;2.72065175886;0.42;5.0
1.72099871068;0.0;2.99797218111;0.7396;7.0
1.71857007017;0.0;2.74374114369;0.8312;5.0
1.72375400175;0.0;2.44936288971;0.7164;3.0
1.72659537287;0.0032;2.40415580354;0.1528;3.0
1.73000351105;0.0076;2.56702241481;0.1568;4.0
1.7191642587;0.0;2.62932618929;0.3972;4.0
1.72010780576;0.0;2.71075549336;0.9112;5.0
1.72529901189;0.0;2.56867111452;0.224;4.0
1.72539645994;0.0;2.58096089684;0.7604;4.0
1.71572524403;0.0;2.48476212208;0.5008;3.0
1.72323901159;0.004;2.68257508122;0.21;5.0
1.72062684935;0.0;2.43460478881;0.3892;3.0
1.72097176879;0.0;2.90428137364;0.618;6.0
1.72587701822;0.0016;2.58348713246;0.7644;4.0
1.71810151256;0.0004;3.21467612751;0.9088;9.0
1.71994135489;0.0;2.63811409918;0.4448;4.0
1.72513398449;0.0032;2.6903401025;0.556;5.0
1.72223218454;0.0056;2.42007214356;0.5268;3.0
1.72182610062;0.0;2.96504490181;0.802;7.0
1.72377436551;0.0;2.79198407754;0.0784;5.0
1.72093015021;0.0;2.7339932166;0.8912;5.0
1.72517733007;0.0;2.81807639864;0.5716;6.0
1.72437257679;0.0008;2.41131184725;0.238;3.0
1.71756820574;0.0008;2.95449445345;0.3604;6.0
1.71975702428;0.0004;2.16835446963;0.0912;2.0
1.7188449396;0.0004;3.01809546937;0.3988;7.0
1.7212170045;0.0016;2.59660633329;0.1808;4.0
1.72320839884;0.0004;2.56958178204;0.7204;4.0
1.71757207373;0.0;2.76366553923;0.9524;5.0
1.72526913068;0.0004;2.78156458637;0.6068;6.0
1.72062185733;0.0;2.95850822474;0.844;6.0
1.73062669661;0.0012;2.85954375406;0.9144;6.0
1.72392128373;0.0;2.593089922;0.3072;4.0
1.72236497323;0.0;2.74404640256;0.4336;5.0
1.72304999857;0.0;2.61693840313;0.8544;4.0
1.72515484246;0.0;2.85604336542;1.0;7.0
1.72261229047;0.0024;2.6064544876;0.624;4.0
1.72178027692;0.0;2.93070800123;0.9996;7.0
1.7204646214;0.0;2.80607744638;0.6268;6.0
1.72125894682;0.0;2.84735900684;0.8732;6.0
1.71623851557;0.0;2.45376709791;0.162;3.0
1.71491736354;0.0;2.9274069186;0.9852;6.0
1.72193072292;0.0;2.57646073237;0.194;4.0
1.72345684899;0.0;2.82360906469;0.4472;6.0
1.71862706108;0.0;2.88845500284;0.2824;6.0
1.72082212077;0.0;2.58473150344;0.5068;4.0
1.72206489668;0.0;2.91390192167;0.65;7.0
1.72195375349;0.0;2.41529777265;0.5108;3.0
1.7220155482;0.0036;2.40772488647;0.066;3.0
1.72101149667;0.0;2.60802738832;0.876;4.0
