f_exp_all,f_pv_all,f_exp,f_pv,f_kmin,00_exp_all,00_pv_all,00_exp,00_pv,00_kmin,02_exp_all,02_pv_all,02_exp,02_pv,02_kmin,04_exp_all,04_pv_all,04_exp,04_pv,04_kmin,06_exp_all,06_pv_all,06_exp,06_pv,06_kmin,08_exp_all,08_pv_all,08_exp,08_pv,08_kmin,10_exp_all,10_pv_all,10_exp,10_pv,10_kmin
1.745164059,0.1844,2.7889927696,0.9648,5,1.8846606708,0.0016,2.9071945719,0.6932,3,1.8492912047,0.1404,3.4987109035,0.7088,8,1.8239188592,0.1132,2.5930912998,0.5984,3,1.7945529792,0.1284,2.6622810011,0.7052,4,1.7739192341,0.044,2.7196583959,0.996,5,1.7603627312,0.4384,2.6736299745,0.7316,6
1.7392782529,0.0428,2.4869506897,0.976,3,1.8870472204,0.0236,2.7617125332,0.624,3,1.8451408124,0.1796,3.2188283909,0.8924,6,1.8172805851,0.1504,2.764390652,0.48,4,1.7935709303,0.0912,2.6307897284,0.656,4,1.7760601452,0.468,2.8742571124,0.8852,7,1.7569869363,0.08,2.468226128,0.4984,4
1.7501397414,0.0864,2.3904606301,0.9108,3,1.8889130831,0.0144,2.9939581626,0.878,4,1.8509863189,0.1088,2.9934591215,0.8672,5,1.8124898491,0.01,2.8438451362,0.8264,4,1.7909999242,0.1072,2.6948276336,0.8156,5,1.7673053474,0.1396,2.7788023622,0.8964,6,1.7555978143,0.0824,2.6078688518,0.9932,5
1.7528047709,0.8624,2.1198993007,0.7032,2,1.8860096501,0.0072,2.8514961928,0.9356,3,1.8499881156,0.2336,2.6380186724,0.3836,3,1.8149241387,0.0708,2.7450209538,0.8144,4,1.7859097353,0.0684,2.6883484647,0.4892,4,1.7709239656,0.0824,2.7551700115,0.8728,6,1.7628668502,0.5044,2.3259173546,0.398,3
1.7433147946,0.1664,2.159930089,0.5372,2,1.8916937077,0.044,3.1512589135,0.7952,5,1.8484045982,0.022,2.7055787168,0.8572,3,1.8227984054,0.1152,2.8677468225,0.54,5,1.7964966984,0.4984,2.4311859171,0.6704,3,1.7653057868,0.0004,2.4526222939,0.4308,3,1.7498381551,0.0084,2.5207303438,0.9492,4
1.729094888,0.0536,2.3672903411,0.5964,3,1.8844704594,0.0244,3.2313104742,0.9628,5,1.8499727001,0.0104,2.7376046456,0.7116,3,1.8104190899,0.014,2.6050220847,0.8036,3,1.7976132416,0.0816,2.4683388583,0.0836,3,1.7756925658,0.1096,2.635499451,0.8052,5,1.7457441003,0.0144,2.4783957607,0.7916,4
1.7417069559,0.174,2.5613237538,0.9828,4,1.8857020596,0.018,2.7761665067,0.7992,3,1.8421204119,0.008,2.7338611198,0.85,3,1.8249033609,0.034,2.7148210005,0.8464,4,1.7870070743,0.0576,2.9588968419,0.5688,6,1.7761095089,0.2916,2.3853049096,0.65,3,1.7483527637,0.0916,2.8229940646,0.668,7
1.7522150871,0.0368,2.4142451855,0.5748,3,1.8850971925,0.074,3.3732173051,0.5996,5,1.8435094756,0.2428,3.1808741118,0.9572,6,1.8243477202,0.0624,2.6051049043,0.7792,3,1.7923177498,0.1116,2.4765691208,0.8784,3,1.7682248618,0.244,2.2210246174,0.0724,2,1.7455560115,0.0056,2.5022414169,0.9196,4
1.7545469871,0.0736,2.3861972525,0.3172,3,1.8922378677,0.5568,3.2436403652,0.9068,5,1.8508431072,0.04,2.8465010831,0.9384,4,1.8199052068,0.0656,2.6031525706,0.9508,3,1.7982297389,0.1248,2.708371771,0.92,5,1.7706825096,0.016,2.4230596531,0.3572,3,1.7446830632,0.0112,2.717754012,0.9044,5
1.7720898923,0.452,2.8052207429,0.892,6,1.8870439559,0.008,3.0431822726,0.994,4,1.8457939365,0.0328,2.6984782639,0.7288,3,1.8219522522,0.252,3.0880395432,0.8764,7,1.7944903906,0.1116,2.7425288299,0.7124,5,1.7703579575,0.0084,2.4265963184,0.9384,3,1.7558678287,0.1252,2.3518588615,0.7672,3
1.771095382,0.4368,2.3732545318,0.9824,3,1.8902495978,0.0328,2.7895615608,0.284,3,1.8462125033,0.0156,2.9410166541,0.9256,4,1.8196963646,0.204,2.5125646703,0.418,3,1.7890184434,0.1508,2.868035752,0.5112,6,1.7707836379,0.2568,2.5571221654,0.6156,4,1.7492404042,0.108,2.6504784408,0.6752,6
1.7543139955,0.4008,2.176018905,0.6156,2,1.8926682471,0.0596,2.7520075963,0.916,3,1.8481603832,0.006,2.9279923821,0.6056,4,1.819358126,0.0816,2.5585420063,0.6928,3,1.787879626,0.0048,2.6833076623,0.8892,4,1.7749682821,0.1016,2.6589666947,0.9892,6,1.7526624644,0.0464,2.3913227595,0.496,3
1.7483248519,0.1148,2.4307218847,0.9452,3,1.8933481766,0.2508,2.7377687588,0.5488,3,1.8476770441,0.0216,3.0299898841,0.9476,5,1.8243642694,0.4404,2.8813797274,0.6888,5,1.797010651,0.1296,2.8412031747,0.7312,6,1.7873335385,0.1228,2.4160062289,0.9944,3,1.750743231,0.2688,2.3278750144,0.19,3
1.7414558437,0.1156,2.420554267,0.792,3,1.8861385122,0.1,2.9858413469,0.1904,4,1.8520686667,0.026,2.6564714373,0.4336,3,1.8186059538,0.0828,2.5644032709,0.3748,3,1.7917491821,0.0444,2.7933731909,0.9844,5,1.7714985933,0.1584,2.7195342669,0.9416,6,1.7549677926,0.1216,2.5645612078,0.9908,5
1.7549289012,0.046,2.3727839056,0.6568,3,1.8846810924,0.084,3.0920558533,0.5464,4,1.845550562,0.0196,2.9265439632,0.5732,4,1.8187766337,0.0032,2.6024906707,0.6212,3,1.79026348,0.0108,2.5048273075,0.9524,3,1.7696269739,0.0372,2.5815849402,0.9908,4,1.7524159863,0.0172,2.3980558452,0.2564,3
1.7368655376,0.0796,3.0226918894,0.4228,10,1.887116317,0.0084,2.872514503,0.7572,3,1.845340281,0.0572,2.677490234,0.3716,3,1.8211814062,0.0168,2.7970983394,0.8452,4,1.7996884754,0.128,2.7154789802,0.9936,5,1.7705904862,0.076,2.584071221,0.9932,5,1.7514376493,0.1212,2.5047785335,0.6728,4
1.7560112177,0.1592,2.4304966697,0.8028,3,1.8846730785,0.0768,3.3238554503,0.7164,5,1.8495024518,0.1512,2.7775004937,0.7424,4,1.8191571719,0.0748,2.5438839268,0.3732,3,1.7924827014,0.044,2.5812026561,0.7724,4,1.7647346084,0.0056,2.5669885635,0.9692,4,1.7523631914,0.1072,2.3560775762,0.6124,3
1.7505459824,0.1872,2.3360040544,0.7768,3,1.8904604248,0.046,3.3978622026,0.8664,6,1.8499228162,0.0068,2.8648938827,0.9912,4,1.8104039588,0.0052,2.9668873141,0.794,5,1.7937592191,0.06,2.613088113,0.8252,10,1.7696661677,0.1624,2.5269696917,0.8852,4,1.7557222403,0.0868,2.5785706678,0.4972,5
