f_exp_all,f_pv_all,f_exp,f_pv,f_kmin,00_exp_all,00_pv_all,00_exp,00_pv,00_kmin,02_exp_all,02_pv_all,02_exp,02_pv,02_kmin,04_exp_all,04_pv_all,04_exp,04_pv,04_kmin,06_exp_all,06_pv_all,06_exp,06_pv,06_kmin,08_exp_all,08_pv_all,08_exp,08_pv,08_kmin,10_exp_all,10_pv_all,10_exp,10_pv,10_kmin
1.7399868094,0.2652,2.3230121042,0.4976,3,1.8891330232,0.1616,3.3042993817,0.9908,5,1.855923679,0.2164,2.8651728285,0.9192,4,1.8201784074,0.2268,2.5207214127,0.3796,3,1.7908882266,0.36,2.4564226327,0.57,3,1.7770114506,0.01,2.5546836361,0.278,4,1.7513762834,0.052,2.6210710353,0.8492,5
1.7581041756,0.3848,2.7452270428,0.9808,6,1.8867104439,0.0372,3.2584902416,0.6424,5,1.8458333967,0.076,3.380353782,0.2708,7,1.811044214,0.0192,2.5555635882,0.6456,3,1.7917953999,0.0132,2.6619838247,0.6892,4,1.7683945251,0.1588,2.6020890197,0.266,4,1.7534102082,0.1596,2.3311326062,0.7004,3
1.7582719342,0.626,2.3318854074,0.8312,3,1.8918971476,0.5132,2.4279467508,0.1724,2,1.8441898153,0.06,2.7134843263,0.3724,3,1.8191979075,0.2548,3.2424711993,0.2504,8,1.7967110357,0.4536,2.4365759635,0.4752,3,1.7672133811,0.3332,2.4051007867,0.2972,3,1.7535156263,0.048,2.5755261931,0.2944,4
1.7419788325,0.016,2.5892704572,0.8224,4,1.8896555928,0.064,2.9699769889,0.8856,4,1.8447304594,0.0116,2.8633870432,0.872,4,1.8173425433,0.1104,2.7353203971,0.5688,4,1.7894325811,0.128,2.9004998179,0.5212,6,1.7697268711,0.066,2.7929318233,0.9252,11,1.7558066553,0.0408,2.4993931835,0.996,4
1.7544418842,0.2376,2.6585314347,0.546,5,1.8899898481,0.0168,3.010106736,0.8424,4,1.8455108631,0.0156,2.693648559,0.436,3,1.8244107311,0.3944,2.9354749714,0.9444,6,1.7893226543,0.0712,2.9027669994,0.5796,6,1.7757734221,0.0152,2.6027554616,0.376,4,1.750364701,0.0236,2.7436455336,0.8588,9
1.7458150601,0.0752,2.3414118344,0.766,3,1.8917870372,0.018,3.0771064827,0.9992,5,1.8492710403,0.0152,2.9202039602,0.4156,4,1.817858968,0.0372,2.6923470908,0.976,4,1.7948231838,0.0296,2.6599545558,0.8716,4,1.7704663521,0.0172,2.4752001055,0.912,3,1.7469543317,0.1188,2.6994656486,0.658,5
1.7270552146,0.056,2.5054871237,0.7432,4,1.88795987,0.0276,2.8253178643,0.6188,3,1.8470305912,0.0648,2.6401959683,0.6904,3,1.8218142299,0.0756,2.7500110903,0.6784,4,1.7897420012,0.264,2.9834129623,0.9964,7,1.7732793899,0.0908,2.7637161582,0.7788,6,1.7557836096,0.0024,2.4181388764,0.9784,3
1.7407203345,0.2864,2.1577462161,0.3504,2,1.8927648122,0.2896,2.7630919848,0.7016,3,1.8490176053,0.032,2.6952500912,0.7624,3,1.810745242,0.0172,2.7759696721,0.944,4,1.7934636974,0.0432,2.5385712606,0.8612,3,1.7726716416,0.26,2.5554628815,0.5056,4,1.7537503212,0.0248,2.3824716366,0.2488,3
1.7550083404,0.2936,2.5385588621,0.4716,4,1.887451045,0.068,2.7729987645,0.528,3,1.8475976315,0.0892,2.6767646368,0.4548,3,1.8243676225,0.0004,2.6474867113,0.5788,3,1.7905360782,0.0256,2.8253587692,0.7688,5,1.769029651,0.1792,2.3779678614,0.8004,3,1.762113152,0.0716,2.5319400802,0.5152,4
1.7406776852,0.0012,2.4753638753,0.4008,3,1.8914258332,0.016,2.8632607082,0.4236,3,1.8498112997,0.0224,2.8025260191,0.5988,8,1.8144355923,0.0012,2.6157241072,0.9724,3,1.7886701747,0.042,2.7573378489,0.9528,5,1.7755252215,0.1504,2.651285901,0.8792,5,1.753864208,0.1112,2.6949586692,0.9256,8
1.7725294533,0.0964,2.5966120772,0.2952,4,1.8873451804,0.0016,2.8447885216,0.4968,3,1.8466990966,0.1448,2.6583859335,0.7,3,1.8240535537,0.4904,3.2465405146,0.5892,7,1.7918051758,0.0996,2.4744487848,0.5484,3,1.7691280038,0.2064,2.383915136,0.6664,3,1.7540845515,0.0088,2.5177212471,0.98,4
1.7421388294,0.0532,2.4439768072,0.934,3,1.8856657849,0.0048,3.0615800706,0.8368,4,1.8550807334,0.0112,3.1360398442,0.8728,6,1.8266422185,0.2964,2.6848021765,0.9668,4,1.7917576273,0.0336,2.6161410044,0.7872,4,1.7707028682,0.2312,2.6405208233,0.6584,5,1.7606641402,0.4056,2.6163263472,0.7332,6
1.7524479943,0.2736,2.4083867548,0.9992,3,1.8921989023,0.0576,2.9838788352,0.958,4,1.8503945453,0.0604,3.1127210805,0.6888,5,1.8220379249,0.0612,2.6931669244,0.8592,4,1.7915861164,0.184,2.7820468019,0.4488,5,1.7781185391,0.2792,2.6354487157,0.8912,5,1.7538513772,0.0836,2.4388099968,0.8848,4
1.740959972,0.5324,2.1187603481,0.5444,2,1.8849290902,0.018,3.0901005472,0.9072,4,1.8344662411,0.0024,3.0162505524,0.706,4,1.8181485235,0.0476,2.7464802271,0.71,4,1.7818401012,0.0204,3.047071197,0.7348,8,1.7696677948,0.0516,2.3919764424,0.3424,3,1.7504461605,0.1436,2.3850898629,0.5464,3
1.7453047642,0.3064,2.8860271199,0.306,6,1.8906798993,0.0464,3.0497676437,0.9516,4,1.8474616882,0.0188,2.7101392531,0.8532,3,1.817840715,0.0896,2.6474080696,0.7844,4,1.7922772244,0.1272,2.7877387084,0.854,6,1.7703105187,0.0744,2.4476881611,0.8216,3,1.7515960077,0.0296,2.683549421,0.9924,6
1.7454980819,0.3924,2.3471021968,0.798,3,1.8814286248,0.0296,3.1038466329,0.1816,4,1.8555025549,0.1732,2.6250379596,0.8448,3,1.8258217553,0.1432,2.7627157315,0.5944,4,1.7912166257,0.0268,2.7878883205,0.9984,5,1.7699164754,0.0396,2.4414537009,0.1372,3,1.7484673375,0.1272,2.5026485559,0.6872,4
1.7539814212,0.3624,2.5615614572,0.9832,4,1.891715963,0.2288,3.0670277513,0.5852,7,1.8518093303,0.1336,2.5985333591,0.4328,3,1.8128617909,0.184,2.7427461241,0.56,4,1.8007061516,0.0772,2.7173269484,0.7104,4,1.776496135,0.024,2.3926203259,0.7188,3,1.7583575288,0.556,2.4239914522,0.5112,4
1.7513807702,0.0288,2.694746235,0.5804,4,1.8844706123,0.0328,2.9955924193,0.854,4,1.8463537723,0.2516,3.048206951,0.2768,5,1.8174385303,0.1168,2.5865635707,0.81,3,1.7855126334,0.0016,2.6735879605,0.8848,4,1.7761079596,0.1436,2.8079387154,0.2868,6,1.7532569329,0.0464,2.5181152214,0.9596,4
1.7512073745,0.0416,2.6689491185,0.1872,4,1.8874993334,0.0012,2.7885316932,0.64,3,1.8472233492,0.036,3.0272369705,0.6916,5,1.8218689284,0.498,2.6983696897,0.5684,4,1.7908477348,0.1068,2.6934299277,0.8408,4,1.7681766867,0.1652,2.5161188991,0.5668,4,1.7528216288,0.0544,2.5951944665,0.9924,5
1.7567681484,0.1512,2.1723934705,0.7236,2,1.8813235169,0.0092,3.5630536302,0.9944,6,1.8541283141,0.09,3.0211276806,0.9608,5,1.8216009351,0.2568,2.5133320732,0.6788,3,1.7963424371,0.3104,2.4439150918,0.432,3,1.7784367569,0.4316,2.3700387595,0.3048,3,1.7474510696,0.0136,2.5060844368,0.8444,4
1.7474603223,0.1728,2.3529595672,0.9776,3,1.890525914,0.1208,2.7578995562,0.4832,3,1.844058537,0.022,2.8490379218,0.9344,4,1.8140282368,0.1032,2.5674871572,0.4528,3,1.7902500738,0.0128,2.4931335609,0.8244,3,1.7738464135,0.2232,2.3892954781,0.7912,3,1.7555730515,0.044,2.5149789282,0.992,5
1.7533536673,0.1916,2.3477835537,0.9968,3,1.8945620727,0.0496,2.7755832033,0.5908,3,1.8553056202,0.2588,3.0269758078,0.9556,5,1.8181710619,0.0128,2.745279378,0.9884,4,1.7933642654,0.0028,2.5543816866,0.8084,3,1.7714456893,0.0556,2.4445395098,0.846,3,1.7419891613,0.016,2.7156794849,0.3548,5
1.7579627136,0.4268,2.9481539545,0.8796,8,1.8868533777,0.0288,2.8167196672,0.8148,3,1.8567225669,0.5128,3.0561790902,0.478,5,1.8140130388,0.0404,2.6152964847,0.8532,3,1.7984913364,0.2668,2.6846940819,0.8148,5,1.7685630642,0.0632,2.4619481313,0.3332,3,1.7569445555,0.59,2.3025428683,0.5668,3
1.7514889933,0.4272,2.3667007658,0.9688,3,1.8853143999,0.0356,3.1888547244,0.972,5,1.8539138958,0.2508,2.3555891217,0.1836,2,1.8158542101,0.0092,2.73110256,0.6832,4,1.7924575924,0.048,2.4936515583,0.4676,3,1.7737596466,0.0676,2.4277841832,0.678,3,1.75668043,0.312,2.5901612706,0.6456,5
1.7632567717,0.2268,2.3860108806,0.5172,3,1.8809449365,0.0152,2.8152479348,0.78,3,1.8406885624,0.0204,2.7399866765,0.6712,3,1.8096710103,0.0164,2.8152168068,0.454,4,1.7938757923,0.014,2.6559230464,0.8488,4,1.7792229703,0.0552,2.5421913546,0.9632,4,1.7488654098,0.268,2.6419329751,0.7972,6
1.747059685,0.1368,2.5385440953,0.772,4,1.8839612232,0.0124,2.8169477053,0.8204,3,1.8478373774,0.0068,2.6645783117,0.4328,3,1.8171236335,0.0448,2.5403291546,0.71,3,1.7904738245,0.1872,2.6332633954,0.8916,4,1.7711246155,0.086,2.3900245515,0.6108,3,1.7583964996,0.3324,2.3323476238,0.6564,3
