alpha_all;p_value_all;alpha;p_value;xmin
1.89423416331;0.0612;2.95589099746;0.864;4.0
1.88957621363;0.0784;3.03102330274;0.076;4.0
1.88711361675;0.0056;2.7947426936;0.7468;3.0
1.89081854722;0.026;2.97020283772;0.9844;4.0
1.89040006762;0.0184;3.01284610474;0.4668;4.0
1.8838425554;0.076;3.06336863654;0.5788;4.0
1.88743915091;0.212;2.46213589124;0.0548;2.0
1.88847902746;0.0048;2.7600349782;0.808;3.0
1.88534819006;0.0516;3.27190460652;0.9856;5.0
1.88926606053;0.032;3.09177465254;0.802;4.0
1.89153362663;0.0944;2.96397972884;0.8572;4.0
1.89045811119;0.146;3.00930037121;0.5964;4.0
1.88296034147;0.2484;4.04556310876;0.8144;7.0
1.88580388609;0.0156;3.02939863751;0.6792;4.0
1.88383762141;0.0132;3.04695218609;0.7176;4.0
1.88785808568;0.0608;3.19799834153;0.8356;5.0
1.88833404711;0.0004;2.77052652634;0.334;3.0
1.88464627634;0.014;3.02126303289;0.8752;4.0
1.88253441853;0.0016;2.86620930962;0.6236;3.0
1.89070691781;0.0932;3.01281491764;0.7944;4.0
1.87649736014;0.0068;2.81466413245;0.3068;3.0
1.88680718283;0.0064;2.51992103029;0.2;2.0
1.88692402224;0.002;2.84947152858;0.7984;3.0
1.89255255365;0.0724;3.17167033414;0.986;5.0
1.88869270723;0.0548;2.98743954986;0.6344;4.0
1.88425647576;0.004;2.80378437709;0.7048;3.0
1.88912047497;0.0956;3.12593798981;0.4576;4.0
1.89348697255;0.0344;2.99679299326;0.916;4.0
1.88239208078;0.0;2.87795634992;0.8444;3.0
1.87949735631;0.0208;2.80971191639;0.222;3.0
1.88405597796;0.0092;2.83402860653;0.6296;3.0
1.88795910438;0.0304;3.18405972447;0.9428;5.0
1.88377441007;0.0052;3.18693960517;0.458;4.0
1.88884275026;0.1744;3.14671619577;0.7916;4.0
1.89155181462;0.146;2.80268030765;0.4504;3.0
1.88653679621;0.01;2.82213259552;0.3524;3.0
1.88205445668;0.0644;3.35979797274;0.7472;5.0
1.88688684693;0.0228;3.11651248727;0.7936;4.0
1.88549958891;0.0152;2.79788756934;0.6964;3.0
1.88858644894;0.0104;2.83759859126;0.862;3.0
1.89295678903;0.0496;2.92383136085;0.9748;4.0
1.8803342654;0.004;3.16468371733;0.9096;5.0
1.8841662046;0.1156;2.8397818539;0.5524;3.0
1.88940896704;0.1924;3.27488546517;0.9772;5.0
1.88533936719;0.0404;3.02248103213;0.9272;4.0
1.89751315344;0.2024;2.90404477614;0.9612;4.0
1.88606850439;0.07;2.97282926442;0.842;4.0
1.89534038879;0.2184;3.0640052922;0.9456;4.0
1.88755111961;0.006;2.8955401189;0.5292;3.0
1.88821184562;0.0744;3.15182863557;0.764;4.0
1.88708572058;0.002;2.86953020582;0.7076;3.0
1.88192735683;0.0148;2.83530777462;0.0712;3.0
1.88699054358;0.004;2.80987286035;0.6948;3.0
1.88864619855;0.024;3.05986566866;0.9964;5.0
1.88021363104;0.0028;3.2236886485;0.98;5.0
1.88871479334;0.03;2.77393043482;0.3448;3.0
1.88633320142;0.0132;2.81089167262;0.6964;3.0
1.8924634353;0.0008;2.82831634046;0.5644;3.0
1.88476919733;0.0048;3.03438706852;0.7376;4.0
1.89241536583;0.0044;2.98039054807;0.8068;4.0
1.88881982191;0.0988;3.43288318075;0.6752;5.0
1.89591579321;0.0692;2.76914211033;0.6176;3.0
1.89152844056;0.1468;3.37671796209;0.4812;6.0
1.8840455898;0.0392;3.03215748103;0.9648;4.0
1.88627393893;0.004;2.82867614654;0.8592;3.0
1.88427419039;0.0448;3.41120266631;0.5952;5.0
1.88680865799;0.0448;3.02788694353;0.864;4.0
1.8908256018;0.1496;3.26280844083;0.6164;5.0
1.88316025944;0.0088;2.83920667755;0.6816;3.0
1.88020847639;0.0032;2.84635665613;0.7684;3.0
1.88676662635;0.1012;3.5687745323;0.718;6.0
1.8867080595;0.0952;2.9766920222;0.4272;4.0
1.88609309852;0.0036;2.81322153046;0.8092;3.0
1.88916530777;0.2264;3.02164753285;0.1324;4.0
1.88557247161;0.008;3.07960426132;0.9972;5.0
1.88813774107;0.1092;3.11054717823;0.4888;4.0
1.87628992239;0.0016;3.1667038929;0.5172;4.0
1.89639674747;0.3104;3.33588044929;0.4576;6.0
1.89113675823;0.1096;3.29068699942;0.9616;6.0
1.88947273965;0.1716;2.79132657733;0.6464;3.0
1.88238493174;0.0336;2.83232798466;0.118;3.0
1.88787388973;0.042;3.01479034845;0.8652;4.0
1.88963399161;0.13;2.45658215393;0.2548;2.0
1.88923287653;0.0972;3.09403460655;0.916;4.0
1.88666189079;0.0964;2.75870547962;0.708;3.0
1.88845523475;0.002;3.15287866115;0.8252;5.0
1.8857563493;0.012;2.9988143938;0.9548;4.0
1.88219286884;0.0036;2.78801904861;0.7304;3.0
1.89567636748;0.0376;2.78420351813;0.7452;3.0
1.88331892596;0.006;3.071109692;0.8848;4.0
1.88181372648;0.0076;3.22567933378;0.9624;5.0
1.88206038112;0.0136;3.02656787666;0.6076;4.0
1.88288619249;0.0008;3.10606828877;0.8312;4.0
1.88718480597;0.0048;2.80959471901;0.95;3.0
1.88842704354;0.0736;3.39581012743;0.5728;5.0
1.88327312644;0.038;3.44257079698;0.8912;6.0
1.88882431312;0.0012;2.84624765092;0.7136;3.0
1.88554193092;0.0276;2.77879537154;0.7232;3.0
1.88438453378;0.018;2.81751376295;0.778;3.0
1.88470742272;0.0028;3.12278621106;0.626;4.0
