alpha_all;p_value_all;alpha;p_value;xmin
1.78818469405;0.0084;2.7200261981;0.3724;4.0
1.7957580495;0.1396;2.45273235696;0.7972;3.0
1.80170854763;0.082;2.47319199088;0.9384;3.0
1.79945725711;0.2352;2.46454015074;0.2192;3.0
1.80259177064;0.202;2.45873262575;0.6376;3.0
1.79173297052;0.028;2.66276924836;0.6924;4.0
1.78998931579;0.0464;2.72760960275;0.8124;5.0
1.78987200879;0.0956;2.65354377637;0.5328;4.0
1.7864723463;0.2;2.78216469947;0.9212;5.0
1.79197799942;0.0196;2.66886140968;0.9744;4.0
1.78974945366;0.0244;2.84383697667;0.7396;7.0
1.80231468927;0.0412;2.62682380457;0.9756;4.0
1.78900812284;0.0076;2.69774391567;0.7872;4.0
1.79890602133;0.028;2.6579541441;0.7496;4.0
1.7935448864;0.0592;2.6512470763;0.782;4.0
1.7927908825;0.1172;2.59559476664;0.7768;4.0
1.79307348348;0.0944;2.48939278569;0.3948;3.0
1.79271708604;0.2932;2.43211415961;0.4384;3.0
1.80009409884;0.162;2.23264243788;0.1288;2.0
1.78957411506;0.0304;2.84526821537;0.9884;6.0
1.78408647882;0.0008;2.64478692761;0.9084;4.0
1.79034009399;0.0456;2.74390520617;0.8476;5.0
1.79418875577;0.052;2.66796945218;0.3772;4.0
1.79219417873;0.0144;2.65261854349;0.8568;4.0
1.78613001846;0.0264;2.49398005698;0.2388;3.0
1.80116624504;0.1148;2.59754420586;0.8056;4.0
1.7897403534;0.0908;2.45221612167;0.7744;3.0
1.79714669892;0.1424;2.267794069;0.296;2.0
1.79119285921;0.006;2.63210876756;0.776;4.0
1.78534977191;0.0248;2.72656210678;0.6856;4.0
1.79130105904;0.0228;2.49517815803;0.386;3.0
1.79464850185;0.108;2.51096032415;0.9676;3.0
1.79448228168;0.2424;2.44620557743;0.5668;3.0
1.78857959468;0.0016;2.69845124252;0.9596;5.0
1.78905775644;0.1788;2.47613595625;0.344;3.0
1.79546583303;0.1852;2.85093205613;0.9516;6.0
1.78464417557;0.0784;2.84308561728;0.9936;6.0
1.78898823741;0.0476;2.48776149726;0.5508;3.0
1.80449684896;0.1336;2.69397637285;0.8164;4.0
1.78829692299;0.0476;2.65903250206;0.8448;4.0
1.79522924204;0.132;2.89079056645;0.4388;6.0
1.79401410752;0.0464;2.67142972854;0.6296;4.0
1.79027311993;0.0212;2.48857065323;0.6248;3.0
1.79725227415;0.0696;2.49139274083;0.762;3.0
1.78721073359;0.0036;2.71279617725;0.7388;4.0
1.79527368436;0.13;2.58970843433;0.9656;4.0
1.78829616191;0.0076;2.66205628888;0.7724;4.0
1.78831356097;0.0008;2.71228295879;0.8476;4.0
1.7944923531;0.0324;2.92617914748;0.6784;5.0
1.7862726737;0.0128;2.64684337153;0.8816;4.0
1.79135021433;0.0492;2.65155862043;0.9616;4.0
1.79171754452;0.0244;2.87021171689;0.722;5.0
1.79167801103;0.034;2.48530917185;0.8472;3.0
1.79152568449;0.1244;2.64369254181;0.5972;4.0
1.78699014589;0.0024;2.68482736678;0.8596;4.0
1.7874350991;0.0088;2.65797592561;0.954;4.0
1.78650225882;0.0636;2.67398754298;0.5396;4.0
1.78327794265;0.0376;2.75893838312;0.8504;5.0
1.7912877498;0.0808;2.58176302059;0.6212;4.0
1.79871972007;0.1788;2.70465907965;0.6504;4.0
1.78818625359;0.0012;2.56057419572;0.7604;3.0
1.79648488896;0.0352;2.50736738334;0.7808;3.0
1.78403798417;0.1084;2.48503522947;0.37;3.0
1.78669660798;0.0908;2.44592543584;0.6152;3.0
1.79534217199;0.0412;2.4852543248;0.8916;3.0
1.79595805513;0.0044;2.49455511672;0.2136;3.0
1.79543121748;0.0556;2.67186631308;0.9304;4.0
1.78937111088;0.038;2.61756610949;0.7368;4.0
1.79953683485;0.0096;2.60022099079;0.9984;4.0
1.79122032969;0.204;2.48611384812;0.3164;3.0
1.80411790938;0.076;2.55543794862;0.9284;4.0
1.78693681362;0.0068;2.77981742037;0.9592;5.0
1.79388784372;0.0536;2.48119888927;0.476;3.0
1.78577114836;0.088;2.81769013418;0.7748;5.0
1.79290167333;0.024;2.64334260843;0.458;4.0
1.79552081801;0.3032;2.42641080823;0.46;3.0
1.78811295843;0.0836;2.72274942623;0.806;5.0
1.79231372894;0.0504;2.78459727477;0.9884;5.0
1.79663904843;0.1068;2.77694590618;0.9788;5.0
1.78756919781;0.004;2.67929390557;0.8724;4.0
1.78654977297;0.002;2.69485765382;0.7204;4.0
1.79833748569;0.096;2.46027035765;0.3496;3.0
1.78584009974;0.1432;2.57646431098;0.4616;4.0
1.79777404054;0.1392;2.62876479545;0.4124;4.0
1.79001758506;0.0352;2.90517799214;0.5472;6.0
1.79803658158;0.106;2.574315065;0.984;4.0
1.79355417267;0.0712;2.48356617794;0.604;3.0
1.79590271127;0.032;2.46956755715;0.884;3.0
1.79393823941;0.0708;2.51072275133;0.7128;3.0
1.79203449509;0.446;2.93908052484;0.9304;6.0
1.79127328505;0.0616;2.65181040074;0.8628;4.0
1.79246716688;0.032;2.74009209861;0.992;5.0
1.78795059764;0.0424;2.75480974327;0.9844;5.0
1.78401242868;0.008;2.53087330402;0.8756;3.0
1.79779711047;0.0292;2.62072757298;0.9228;4.0
1.79719170375;0.3528;2.44869436514;0.5232;3.0
1.78965640231;0.1032;2.70545297549;0.8096;5.0
1.79168404805;0.016;2.63623211634;0.9852;4.0
1.79516308044;0.2472;2.81011616723;0.9232;6.0
1.79405969089;0.0076;2.47375895599;0.5104;3.0
