nu1_all;p_value_all;nu1;p_value;xmin
1.70662990293;0.0;2.54826294614;0.7504;4.0
1.70649599772;0.0112;2.59830773786;0.2064;5.0
1.69800808525;0.0;2.7886275026;0.4304;6.0
1.70430052313;0.0004;3.03078825624;0.6536;11.0
1.7095186934;0.0036;2.53592323371;0.7324;4.0
1.70780956278;0.0;2.79012167071;0.8844;6.0
1.70736146852;0.0016;2.49846254407;0.34;4.0
1.70249453582;0.0;2.8321932784;0.6568;6.0
1.70333506751;0.0;2.81166708134;0.8688;8.0
1.70529860041;0.0004;2.94869147562;0.8532;10.0
1.70134158879;0.0;2.64506024767;0.8244;5.0
1.6999698926;0.0;2.52520803804;0.5864;4.0
1.70434236057;0.0;2.89560120321;0.994;7.0
1.70711743024;0.0;2.59593060269;0.804;5.0
1.70377454898;0.0004;2.50104457673;0.0808;4.0
1.70438394243;0.0008;2.92202183289;0.7724;9.0
1.70653449138;0.0;2.81653876924;0.0816;8.0
1.70377326445;0.0;2.85079208989;0.3216;7.0
1.70397776113;0.0;2.62845550127;0.5348;5.0
1.70458961328;0.0;2.55848132858;0.2236;4.0
1.70210273244;0.0;2.35967502295;0.1056;3.0
1.70937718176;0.0;2.5715850634;0.9104;4.0
1.709465301;0.0;2.67172467091;0.6088;5.0
1.7031235997;0.0004;2.65866436148;0.5472;5.0
1.71042069187;0.0;2.78242884129;0.626;6.0
1.70623325918;0.0;2.83807129375;0.6308;8.0
1.69995247681;0.0;2.89681261977;0.9952;8.0
1.70462129014;0.0028;2.38484536841;0.7388;3.0
1.70213087252;0.0032;3.08022583803;0.594;9.0
1.70446994304;0.0004;2.39201418665;0.2584;3.0
1.70303085557;0.0;2.69370970811;0.6728;5.0
1.70432117924;0.0;2.70332013216;0.3548;5.0
1.70897272049;0.004;2.35175082802;0.3736;3.0
1.7067508091;0.0004;2.54652388603;0.3192;4.0
1.70949215022;0.0;2.69142156825;0.4556;6.0
1.70580101766;0.0;2.38303712876;0.1088;3.0
1.70740493059;0.0;2.71118124538;0.7352;5.0
1.70766735057;0.0012;2.65104668837;0.6148;5.0
1.70455971399;0.0032;3.23316447378;0.5468;11.0
1.70171410083;0.0;2.72162563547;0.778;5.0
1.70573479816;0.0;2.90686052967;0.9236;7.0
1.7036487721;0.0;2.36150321212;0.1184;3.0
1.70436099659;0.0;2.78134492635;0.7864;6.0
1.70445498657;0.0;2.80077861028;0.6172;6.0
1.71004935706;0.0032;2.87200949406;0.9856;8.0
1.70520434081;0.0024;2.82489802757;0.6852;7.0
1.70005917834;0.0;2.73893576661;0.7268;5.0
1.70565436598;0.0024;2.36853103661;0.3008;3.0
1.70324610483;0.0;2.83776489218;0.5024;6.0
1.70825550962;0.0;2.85819600168;0.5448;7.0
1.70308025805;0.0008;3.12452165477;0.8192;12.0
1.71211247146;0.0056;2.85971952894;0.5628;8.0
1.70846784129;0.0;2.77701834014;0.734;6.0
1.71071290207;0.0004;2.77121767647;0.9284;7.0
1.70577038015;0.0036;2.51546323796;0.5576;4.0
1.70698531825;0.0048;2.84086811066;0.7692;7.0
1.700025276;0.0;2.77588355046;0.834;6.0
1.70374548739;0.0;2.80257428989;0.9944;6.0
1.70824281923;0.0012;2.4938707348;0.654;4.0
1.70690063442;0.0;2.94211818286;0.7564;7.0
1.703850626;0.0;2.80208055163;0.7508;7.0
1.7026662899;0.0008;3.06906141357;0.142;8.0
1.71124996168;0.0012;2.63046529975;0.84;6.0
1.70658406464;0.0032;2.97158485346;0.4512;9.0
1.69827792682;0.0;2.57748256525;0.3384;4.0
1.70913643547;0.0048;3.0534211038;0.9192;10.0
1.70407384565;0.0004;2.76132069919;0.8204;6.0
1.70302339888;0.0;2.58762773013;0.4344;4.0
1.70392164891;0.0;2.84860515216;0.6676;6.0
1.70226753222;0.0032;2.5370309789;0.2992;4.0
1.70243562105;0.0;2.81208970458;0.8252;6.0
1.70027932302;0.0;2.79662774805;0.9824;6.0
1.70189155905;0.0016;2.37707604256;0.186;3.0
1.6993461778;0.0;2.3755545848;0.288;3.0
1.70212541612;0.0;2.83319757686;0.8856;6.0
1.69889809222;0.0;2.77960523412;0.7016;6.0
1.70366404976;0.0004;2.63496828288;0.7728;5.0
1.70640981119;0.0;2.85021593354;0.926;7.0
1.69991272512;0.0004;2.51735899016;0.2992;4.0
1.70877463237;0.0032;2.35097499544;0.1712;3.0
1.70637987219;0.0008;2.896554908;0.4284;8.0
1.70530355856;0.0024;2.51010885559;0.1568;4.0
1.70799566278;0.0;2.64721288363;0.91;5.0
1.69990472598;0.0;2.57874305217;0.1296;4.0
1.71053345273;0.0016;2.50814185785;0.316;4.0
1.70167572916;0.0;2.79609281244;0.8296;6.0
1.7007730765;0.0;2.83027168188;0.7156;7.0
1.70341530312;0.0004;2.98445052311;0.6136;8.0
1.70360933991;0.0;2.81268665797;0.5936;5.0
1.70171344709;0.0004;2.68493576764;0.8436;5.0
1.70340362113;0.0;2.87596068078;0.3916;7.0
1.70212144875;0.0;2.87492516349;0.3104;7.0
1.70757721449;0.0032;2.66554919395;0.2816;5.0
1.69801603161;0.0;2.54344232666;0.5876;4.0
1.70810675258;0.0036;2.52927015544;0.256;4.0
1.70893174384;0.0032;2.63824189383;0.2288;5.0
1.69851380264;0.0;2.723022049;0.5564;5.0
1.71023993533;0.0;2.83762511076;0.6388;7.0
1.69771193753;0.0;2.83527729516;0.8396;7.0
1.70425952481;0.0008;2.63077181144;0.5852;5.0
