alpha_all;p_value_all;alpha;p_value;xmin
1.79590234666;0.4056;2.84392540891;0.776;6.0
1.79129693131;0.0112;2.67757625055;0.6424;4.0
1.79605911452;0.0592;2.80722687333;0.9944;5.0
1.78905301234;0.0976;2.83662615128;0.966;6.0
1.79077468143;0.0116;2.79327011622;0.4708;4.0
1.79389686941;0.2064;2.80540075665;0.8268;6.0
1.79814352577;0.1532;2.48220535625;0.1908;3.0
1.79163968491;0.0836;2.63801690512;0.7312;4.0
1.79725784349;0.2584;2.4662936078;0.2968;3.0
1.78678515698;0.0056;2.72752895727;0.8312;4.0
1.79214468084;0.3452;2.57335997002;0.34;4.0
1.78808807167;0.0312;2.63144878114;0.6948;4.0
1.78738910039;0.0056;2.69145690269;0.8456;4.0
1.79592571567;0.068;2.46532039565;0.6928;3.0
1.79564248251;0.0072;2.62864661042;0.9952;4.0
1.79272050253;0.0736;2.48537500287;0.8456;3.0
1.78996245927;0.014;2.78506680023;0.8408;5.0
1.79117667926;0.0996;2.94686710987;0.8904;6.0
1.78563313976;0.1192;2.50024059216;0.6512;3.0
1.79077754253;0.02;2.6260315154;0.8856;4.0
1.78971035186;0.0824;2.82519637858;0.9356;5.0
1.79178406058;0.1912;2.8772151255;0.936;7.0
1.79281927861;0.0148;2.50743701974;0.8496;3.0
1.79093713953;0.0228;2.79340513985;0.902;5.0
1.79695262354;0.1088;2.7915035539;0.8048;5.0
1.79166274225;0.1436;2.868007546;0.9836;6.0
1.78918251154;0.0044;2.67230181181;0.8876;4.0
1.78714890477;0.0484;2.51860478672;0.5996;3.0
1.793781724;0.1028;2.60759169552;0.592;4.0
1.79293564079;0.048;2.47006086261;0.6788;3.0
1.79834863018;0.0332;2.66086056144;0.8696;4.0
1.79363471324;0.002;2.69102114041;0.3024;4.0
1.7846540201;0.07;2.4784391474;0.7732;3.0
1.7877845837;0.1564;2.45057167439;0.6172;3.0
1.78818157606;0.0456;2.64109112117;0.6656;4.0
1.79181477209;0.0296;2.76438234237;0.6512;5.0
1.78627259101;0.142;2.95592152349;0.6904;6.0
1.78604207202;0.038;2.6675133024;0.4556;4.0
1.79656466331;0.1296;2.60978089239;0.8564;4.0
1.78847554358;0.1092;2.78532611275;0.3304;5.0
1.79385902183;0.0488;2.58803793015;0.944;4.0
1.79426624922;0.0792;2.47078769096;0.538;3.0
1.79165631948;0.0064;2.6931820791;0.8332;4.0
1.79354536009;0.0536;2.49443001292;0.7956;3.0
1.79644618412;0.0196;2.64297429837;0.9124;4.0
1.79494941606;0.1028;2.60884747515;0.9816;4.0
1.79515198878;0.06;2.50121632094;0.388;3.0
1.78471151149;0.012;2.67332334475;0.8332;4.0
1.78789240391;0.028;2.78976947669;0.6652;5.0
1.79651210808;0.05;2.57867502535;0.8064;4.0
1.79394586222;0.1992;2.9377837339;0.7748;7.0
1.78715303993;0.0232;2.62366816395;0.9048;4.0
1.79003684312;0.0856;2.60455892117;0.6984;4.0
1.795212762;0.0164;2.72583047467;0.7516;4.0
1.78963422909;0.0024;2.51390873222;0.5252;3.0
1.79662554957;0.026;2.78476977809;0.1808;5.0
1.78618799132;0.1252;2.60257373733;0.6296;4.0
1.79574169286;0.2292;2.69370461751;0.8616;5.0
1.79464189157;0.0108;2.52978813019;0.8016;3.0
1.79247961308;0.0168;2.72992724517;0.9976;5.0
1.79650036516;0.026;2.50791268816;0.8608;3.0
1.78953716233;0.0504;2.92887769814;0.4204;6.0
1.79112150821;0.0804;2.77591420981;0.9892;5.0
1.80408820383;0.5024;2.69664589668;0.9908;5.0
1.78963723455;0.0276;2.52274047788;0.3896;3.0
1.78414153621;0.0112;2.70493032958;0.8932;4.0
1.79683134444;0.02;2.78202601628;0.9936;7.0
1.79277565688;0.1172;2.66060722062;0.3112;4.0
1.79093246799;0.0008;2.6317724672;0.9128;4.0
1.7991324559;0.124;2.78797904003;0.792;5.0
1.7832248454;0.0008;2.82172493623;0.8924;5.0
1.78934569875;0.2116;2.43149877952;0.2908;3.0
1.78615290676;0.144;2.95798433573;0.1928;6.0
1.79844635457;0.1492;2.90438595396;0.6108;6.0
1.78896780118;0.1472;2.85577691129;0.7152;6.0
1.79091977249;0.0116;2.64486841184;0.9876;4.0
1.80146815192;0.008;2.50964097683;0.9352;3.0
1.78779879073;0.0112;2.5063471238;0.578;3.0
1.79417594555;0.022;2.69388414626;0.9344;4.0
1.79207092418;0.124;2.76841896072;0.6536;5.0
1.79133231368;0.014;2.54655404698;0.8172;3.0
1.78929842675;0.018;2.62136194703;0.9548;4.0
1.7890045416;0.0144;2.49258349023;0.8632;3.0
1.79460113451;0.0724;2.62906769743;0.9472;4.0
1.80269108992;0.0128;2.49490832181;0.7904;3.0
1.79143638738;0.0008;2.50663278234;0.8924;3.0
1.79087619669;0.1536;2.93195252187;0.9992;6.0
1.80046194919;0.4716;2.59207623557;0.756;4.0
1.79590746959;0.0768;2.49127843939;0.6984;3.0
1.79586508982;0.146;2.63552640012;0.3452;4.0
1.79661182718;0.256;2.7656323103;0.9672;5.0
1.78725643783;0.0172;2.51248237017;0.4084;3.0
1.78945125722;0.2108;2.47313649728;0.3364;3.0
1.79098569161;0.1504;2.61939446433;0.4564;4.0
1.79490001262;0.1952;2.46426335456;0.404;3.0
1.79494608517;0.0032;2.50636264297;0.7284;3.0
1.79723874081;0.0508;2.46265224566;0.48;3.0
1.79417749346;0.0028;2.69597342176;0.9136;4.0
1.78881522418;0.0652;2.47936407219;0.574;3.0
1.79672185149;0.034;2.6720392261;0.9896;4.0
