nu1_all;p_value_all;nu1;p_value;xmin
1.72790375294;0.0;2.85876638884;0.988;6.0
1.7291813058;0.014;2.40353951223;0.5316;3.0
1.72122483458;0.0;2.59591109049;0.7068;4.0
1.727869961;0.0084;2.53833044024;0.3588;4.0
1.72626181813;0.002;2.39960860858;0.0428;3.0
1.72782251959;0.0;2.79902616256;0.3644;6.0
1.72454089572;0.0004;2.6836671018;0.774;5.0
1.7254242737;0.0;2.59772715491;0.7488;4.0
1.7279050716;0.0;2.79819316424;0.6292;9.0
1.72165721091;0.0;2.82955790235;0.3552;6.0
1.71742373794;0.0004;2.63904745843;0.6812;4.0
1.71769151287;0.0004;2.40846834235;0.0516;3.0
1.72524396263;0.0024;2.56651584188;0.4112;4.0
1.72450120088;0.0;2.62364521861;0.8944;4.0
1.71968450586;0.0;2.65760688338;0.46;4.0
1.7233767533;0.0008;2.83923775483;0.8956;6.0
1.71730462186;0.0;2.7009911148;0.3032;5.0
1.72025452902;0.0;2.86837756776;0.8088;6.0
1.71939664131;0.0;2.87890114432;0.8628;7.0
1.72498785701;0.0;2.59194550035;0.6836;4.0
1.72196275581;0.0;2.60774253021;0.9496;4.0
1.7211366016;0.0;2.6275447457;0.7552;4.0
1.72695885701;0.0;2.73151134874;0.4036;5.0
1.72555557025;0.004;2.55820252758;0.6532;4.0
1.72817434717;0.0028;2.79721157765;0.9472;6.0
1.72213982675;0.002;3.14844429865;0.8404;9.0
1.71883927052;0.0;2.87869606731;0.9288;6.0
1.72094256646;0.0;2.62720248854;0.386;4.0
1.72953230333;0.0012;2.54777487389;0.878;4.0
1.72482859638;0.0004;2.93854820464;0.814;7.0
1.72177216812;0.0016;2.63271758993;0.5548;4.0
1.72629455341;0.0028;2.40034680367;0.2424;3.0
1.72191401091;0.0;3.01453395867;0.9756;8.0
1.72542020467;0.0004;2.83532700511;0.8212;6.0
1.72139596286;0.0004;2.89263117247;0.5936;7.0
1.72702867685;0.0008;2.58764919709;0.8852;4.0
1.72433550778;0.0;2.44581816106;0.6108;3.0
1.72648043671;0.0;2.79260028457;0.6956;5.0
1.72065713223;0.0;2.74366082435;0.73;5.0
1.72053795545;0.0;2.45414546593;0.7044;3.0
1.72097504174;0.0016;2.68834806473;0.4432;5.0
1.72448418937;0.0;2.82559509617;0.8916;6.0
1.72607532515;0.0;2.79844549502;0.966;6.0
1.72903101031;0.0008;2.85962913786;0.9592;7.0
1.72182287015;0.0028;3.28176242715;0.6064;9.0
1.71880896873;0.0;2.92472677497;0.6456;6.0
1.72117383888;0.0;2.43483346457;0.3832;3.0
1.72171484784;0.0;2.40511021967;0.0336;3.0
1.72555883462;0.0004;2.82739511143;0.7712;6.0
1.7239060809;0.0;2.83024277222;0.4668;5.0
1.72344088831;0.0;2.61550992082;0.1908;4.0
1.71751114832;0.0;2.97494096579;0.5368;7.0
1.72113973515;0.002;2.41578583328;0.1788;3.0
1.72240210682;0.0008;3.07494087675;0.4332;8.0
1.71521039307;0.0;3.16105254884;0.6096;10.0
1.7214845376;0.0;2.62519566558;0.294;4.0
1.71633722613;0.0;2.95363703346;0.998;7.0
1.72152372552;0.0;2.61681127592;0.658;4.0
1.71680689068;0.0;2.47862554567;0.568;3.0
1.72460854911;0.0;3.01898905672;0.4332;7.0
1.71671205756;0.0;2.62183047291;0.602;4.0
1.72495679947;0.0004;2.66089640455;0.1336;4.0
1.72674709237;0.0;2.74794241731;0.5932;5.0
1.72897029186;0.002;2.73521592715;0.9476;5.0
1.72296286091;0.0052;2.42279786845;0.1572;3.0
1.71815633293;0.0;2.45027238008;0.2688;3.0
1.72862262819;0.0008;2.86256438784;0.6124;7.0
1.72629244209;0.0;2.85939856242;0.4996;6.0
1.72121168807;0.0004;2.5868155304;0.3828;4.0
1.71975625217;0.0012;2.73843915347;0.2952;5.0
1.7194458037;0.0008;3.00568795229;0.7496;7.0
1.72089855725;0.0;2.83237889889;0.8264;7.0
1.72737172907;0.0052;2.7083989947;0.2176;5.0
1.72156970439;0.0;3.18209389175;0.5376;8.0
1.72361080821;0.0;2.56829332312;0.6068;4.0
1.71690704325;0.0;2.71555192615;0.7648;5.0
1.72578772968;0.0;2.70272787351;0.638;5.0
1.72417466079;0.0036;2.92280899723;0.88;7.0
1.72107462218;0.0;2.75692085642;0.892;5.0
1.72538236308;0.0052;2.90965718153;0.4628;6.0
1.72423067175;0.0004;2.72028403881;0.9564;5.0
1.71864709862;0.0;2.60569491608;0.118;4.0
1.72243247901;0.0008;2.7949428383;0.942;5.0
1.72000338392;0.0;3.53875089595;0.8684;15.0
1.7231158394;0.0;2.59682345189;0.718;4.0
1.72542490858;0.0;2.7886968205;0.996;6.0
1.71590335342;0.0;2.41862481486;0.0596;3.0
1.72359877474;0.0008;2.85975949763;0.808;6.0
1.72403284044;0.0;2.85280238576;0.9856;6.0
1.7237486719;0.0;2.97780713077;0.7384;7.0
1.7221027637;0.0;2.79359393303;0.3208;5.0
1.72216650269;0.0;2.78065238712;0.5092;5.0
1.72359038063;0.0;2.61030431727;0.814;4.0
1.72399816121;0.0004;2.77243150679;0.4248;5.0
1.72562936845;0.0;2.45924526888;0.766;3.0
1.7224688129;0.0012;2.55323695239;0.2644;4.0
1.72403980692;0.0;2.86746634159;0.9856;6.0
1.72516316695;0.0012;2.41534657817;0.3596;3.0
1.72899582605;0.03;2.54988238575;0.106;4.0
1.71758608271;0.0;3.20079992171;0.5396;10.0
