alpha_all;p_value_all;alpha;p_value;xmin
1.79538235466;0.1112;2.50335646503;0.7844;3.0
1.79805287643;0.0484;2.54046541076;0.2568;3.0
1.79842268488;0.0888;2.66285971327;0.9692;4.0
1.78633062412;0.03;2.51046759434;0.9636;3.0
1.79811246069;0.1384;2.67191624679;0.6276;4.0
1.79693851293;0.0556;2.64564720682;0.9108;4.0
1.79982454253;0.2364;2.60064638949;0.7184;4.0
1.79587278651;0.1844;2.82819491318;0.9444;6.0
1.78735281863;0.0112;2.65166946634;0.9716;4.0
1.79552331229;0.6848;2.43084847544;0.5564;3.0
1.79067537332;0.1696;2.61191158046;0.7052;4.0
1.79049742459;0.1184;2.24849442621;0.2588;2.0
1.80234906805;0.614;2.62901407642;0.4764;4.0
1.79986463327;0.0924;2.60482144162;0.998;4.0
1.79265839994;0.0792;2.47175455662;0.1364;3.0
1.79571969334;0.1372;2.43427918305;0.6504;3.0
1.79455297915;0.1284;2.66228100111;0.7052;4.0
1.79357093026;0.0912;2.63078972836;0.656;4.0
1.79099992424;0.1072;2.69482763363;0.8156;5.0
1.78590973527;0.0684;2.68834846466;0.4892;4.0
1.79649669839;0.4984;2.43118591709;0.6704;3.0
1.79761324161;0.0816;2.46833885832;0.0836;3.0
1.78700707432;0.0576;2.95889684193;0.5688;6.0
1.79231774978;0.1116;2.47656912079;0.8784;3.0
1.79822973892;0.1248;2.70837177101;0.92;5.0
1.79449039061;0.1116;2.74252882992;0.7124;5.0
1.78901844343;0.1508;2.868035752;0.5112;6.0
1.78787962596;0.0048;2.68330766231;0.8892;4.0
1.79701065098;0.1296;2.84120317468;0.7312;6.0
1.79174918207;0.0444;2.79337319091;0.9844;5.0
1.79026347997;0.0108;2.50482730748;0.9524;3.0
1.79968847535;0.128;2.71547898017;0.9936;5.0
1.79248270138;0.044;2.5812026561;0.7724;4.0
1.79375921908;0.06;2.61308811298;0.8252;10.0
1.78929401453;0.0412;2.788743195;0.9988;5.0
1.79636062943;0.1484;2.49899598513;0.8388;3.0
1.78677001915;0.1136;2.84444524068;0.9492;6.0
1.79230299363;0.1076;2.47127820957;0.702;3.0
1.7902301899;0.284;3.06886063642;0.79;7.0
1.7869577055;0.2996;2.76457503555;0.1748;5.0
1.78996728287;0.0436;2.47670917236;0.8672;3.0
1.78883356374;0.1704;2.9714800122;0.502;7.0
1.79781339772;0.2432;2.45593120379;0.3528;3.0
1.79390868438;0.2192;2.60863774925;0.9716;4.0
1.78905043545;0.0884;3.00963382008;0.4252;6.0
1.78292401451;0.0688;2.46730907247;0.172;3.0
1.78961920246;0.2764;2.89537299471;0.7868;9.0
1.79332533069;0.0132;2.78303750901;0.8684;5.0
1.79272781416;0.0448;2.46842977997;0.8552;3.0
1.79339047216;0.1304;2.61511580696;0.7964;4.0
1.79257695944;0.0044;2.67744069366;1.0;4.0
1.7910460192;0.1212;2.67266655498;0.6928;4.0
1.79639422838;0.04;2.63218639346;0.7264;4.0
1.79059759353;0.1128;2.83095388716;0.8412;6.0
1.79480501752;0.1316;2.61157496418;0.8724;4.0
1.79229054185;0.0264;2.62273585291;0.8824;4.0
1.7896844088;0.1176;2.7733888174;0.9216;5.0
1.78970812934;0.0564;2.65209078419;0.4516;4.0
1.79729191015;0.0888;2.46703472449;0.82;3.0
1.7898273228;0.1036;2.97128044185;0.524;6.0
1.79248334361;0.3776;2.44006936959;0.132;3.0
1.79398602259;0.344;2.7545931499;0.8076;5.0
1.79271088376;0.0768;2.49419217371;0.7872;3.0
1.79718161934;0.0588;2.81164783089;0.726;5.0
1.79803164318;0.0084;2.62723012683;0.95;4.0
1.79933548515;0.1612;2.58827377612;0.4284;4.0
1.78585558788;0.0016;2.74929392235;0.4704;4.0
1.79572876078;0.0584;2.61469586836;0.8672;4.0
1.79406029237;0.03;2.50960881139;0.8904;3.0
1.78489372675;0.0104;2.61098357699;0.9472;4.0
1.79383029551;0.4668;3.12486540191;0.8968;8.0
1.79209662731;0.1016;2.45661708641;0.6752;3.0
1.79435873748;0.1504;2.48367275777;0.7828;3.0
1.79268375778;0.0428;2.75882262722;0.9772;5.0
1.79088822662;0.36;2.45642263267;0.57;3.0
1.79179539993;0.0132;2.66198382466;0.6892;4.0
1.79671103572;0.4536;2.43657596353;0.4752;3.0
1.78943258107;0.128;2.90049981785;0.5212;6.0
1.78932265426;0.0712;2.90276699936;0.5796;6.0
1.79482318381;0.0296;2.6599545558;0.8716;4.0
1.78974200124;0.264;2.98341296225;0.9964;7.0
1.79346369738;0.0432;2.5385712606;0.8612;3.0
1.79053607821;0.0256;2.82535876924;0.7688;5.0
1.7886701747;0.042;2.75733784887;0.9528;5.0
1.79180517575;0.0996;2.47444878481;0.5484;3.0
1.79175762726;0.0336;2.61614100443;0.7872;4.0
1.79158611638;0.184;2.78204680186;0.4488;5.0
1.78184010122;0.0204;3.04707119699;0.7348;8.0
1.79227722438;0.1272;2.78773870837;0.854;6.0
1.79121662569;0.0268;2.78788832054;0.9984;5.0
1.80070615159;0.0772;2.71732694838;0.7104;4.0
1.78551263337;0.0016;2.67358796049;0.8848;4.0
1.79084773482;0.1068;2.69342992769;0.8408;4.0
1.79634243712;0.3104;2.44391509181;0.432;3.0
1.79025007378;0.0128;2.4931335609;0.8244;3.0
1.79336426543;0.0028;2.55438168663;0.8084;3.0
1.79849133636;0.2668;2.68469408187;0.8148;5.0
1.79245759238;0.048;2.49365155832;0.4676;3.0
1.79387579226;0.014;2.65592304638;0.8488;4.0
1.79047382449;0.1872;2.63326339542;0.8916;4.0
