onb,nu1,nu2,exp_all,pv_all,exp,pv,kmin
TRUE,0.2,0.6,1.8511031209,0.0032,2.6532055442,0.7472,3
TRUE,0.2,0.6,1.8461436032,0.0344,3.1787931041,0.4464,5
TRUE,0.2,0.6,1.8489683367,0.2068,2.3507766694,0.0356,2
TRUE,0.2,0.6,1.8445332761,0.0036,3.0273336875,0.4,4
TRUE,0.2,0.6,1.8493446365,0.0252,2.6861997414,0.0912,3
TRUE,0.2,0.6,1.848039698,0.0452,2.8932510266,0.7836,4
TRUE,0.2,0.6,1.8455003475,0.0192,2.8578894641,0.9636,4
TRUE,0.2,0.6,1.8559599447,0.0704,2.7293804764,0.8604,4
TRUE,0.2,0.6,1.8473494067,0.0052,2.5905559995,0.5576,3
TRUE,0.2,0.6,1.8444019539,0.04,2.7463894173,0.5324,3
TRUE,0.2,0.6,1.85010732,0.0088,2.8809295445,0.9604,4
TRUE,0.2,0.6,1.8440084941,0.1076,2.6557352058,0.4396,3
TRUE,0.2,0.6,1.8542406472,0.0056,2.6915008428,0.6932,3
TRUE,0.2,0.6,1.8485242865,0.0184,3.0668634551,0.8224,5
TRUE,0.2,0.6,1.8450977437,0.2216,2.8669757896,0.3636,4
TRUE,0.2,0.6,1.8431895603,0.0268,3.0245692522,0.9768,6
TRUE,0.2,0.6,1.8522655522,0.02,2.8716396211,0.9844,4
TRUE,0.2,0.6,1.8561334175,0.1,3.0381940231,0.9404,5
TRUE,0.2,0.6,1.8488723243,0.0004,2.7522310564,0.9968,4
TRUE,0.2,0.6,1.8442737237,0.0024,2.8836913643,0.2684,4
TRUE,0.2,0.6,1.8483245352,0.2548,3.0678726455,0.4148,5
TRUE,0.2,0.6,1.8489093429,0.0444,3.0514221368,0.954,5
TRUE,0.2,0.6,1.847468506,0.2144,2.3989513892,0.1924,2
TRUE,0.2,0.6,1.8529667167,0.2476,3.1807606708,0.8276,6
TRUE,0.2,0.6,1.8573692767,0.0756,2.5920865431,0.7576,3
TRUE,0.2,0.6,1.8502317645,0.028,2.6875742264,0.3124,3
TRUE,0.2,0.6,1.8519971158,0.076,2.3918372733,0.3924,2
TRUE,0.2,0.6,1.8492698055,0.0588,2.6476434072,0.7424,3
TRUE,0.2,0.6,1.8479696057,0.0844,2.9199186787,0.7412,4
TRUE,0.2,0.6,1.8448137006,0.0252,2.7049997504,0.8756,3
TRUE,0.2,0.6,1.8396806543,0.0428,3.3464452821,0.3888,6
TRUE,0.2,0.6,1.8467520172,0.078,2.8705482435,0.8904,4
TRUE,0.2,0.6,1.8563697567,0.01,2.8154627799,0.7724,4
TRUE,0.2,0.6,1.8458836158,0.2904,2.6401801619,0.1492,3
TRUE,0.2,0.6,1.8501747861,0.0656,3.1483439639,0.9512,6
TRUE,0.2,0.6,1.8455161768,0.0332,2.663089434,0.2248,3
TRUE,0.2,0.6,1.8590990456,0.126,3.1356487013,0.9712,6
TRUE,0.2,0.6,1.8548743688,0.0664,2.8578882472,0.7812,4
TRUE,0.2,0.6,1.8510484666,0.4968,3.0444800141,0.9984,5
TRUE,0.2,0.6,1.848516124,0.1916,2.6187994214,0.2304,3
TRUE,0.2,0.6,1.8563064497,0.0084,2.8112216908,0.9004,4
TRUE,0.2,0.6,1.8482463167,0.254,3.1933219589,0.6156,6
TRUE,0.2,0.6,1.8443076171,0.0056,2.8821375841,0.8136,4
TRUE,0.2,0.6,1.8470032763,0.1672,3.3159763514,0.9008,7
TRUE,0.2,0.6,1.8552033968,0.1848,2.851584584,0.3488,4
TRUE,0.2,0.6,1.8453446728,0.0104,3.0175214244,0.7588,5
TRUE,0.2,0.6,1.8509951124,0.0084,2.8946472612,0.91,4
TRUE,0.2,0.6,1.8450602519,0.036,3.0490139949,0.642,6
TRUE,0.2,0.6,1.8539595154,0.0888,2.8272074473,0.8604,4
TRUE,0.2,0.6,1.8509340285,0.0228,2.4132261471,0.3272,2
TRUE,0.2,0.6,1.8425667139,0.0472,2.6729955911,0.4468,3
TRUE,0.2,0.6,1.8505316913,0.0448,2.4004631454,0.3344,2
TRUE,0.2,0.6,1.8444786095,0.0196,2.6977270101,0.7196,3
TRUE,0.2,0.6,1.8499778124,0.0696,2.8504359897,0.9064,4
TRUE,0.2,0.6,1.8478771663,0.0008,2.8414159128,0.9792,5
TRUE,0.2,0.6,1.846939683,0.0172,2.9219220149,0.968,4
TRUE,0.2,0.6,1.8515644272,0.0472,2.9335624764,0.0952,4
TRUE,0.2,0.6,1.8386367396,0.016,2.7042669182,0.6036,3
TRUE,0.2,0.6,1.8517501014,0.2844,3.058972227,0.824,5
TRUE,0.2,0.6,1.8455369268,0.062,2.9362040018,0.4464,4
TRUE,0.2,0.6,1.8521989731,0.0768,2.7892422938,0.742,4
TRUE,0.2,0.6,1.8550744388,0.164,3.4545888387,0.9704,8
TRUE,0.2,0.6,1.8399802229,0.1568,3.2399265115,0.992,6
TRUE,0.2,0.6,1.8463078845,0.004,2.8311143232,0.904,4
TRUE,0.2,0.6,1.8475591828,0.1944,2.6480992142,0.3168,3
TRUE,0.2,0.6,1.8528071658,0.1644,2.7944195297,0.9768,4
TRUE,0.2,0.6,1.8490137542,0.0988,3.1067588154,0.9988,6
TRUE,0.2,0.6,1.8478966049,0.2268,2.6998420871,0.2556,3
TRUE,0.2,0.6,1.8561672397,0.234,2.614978836,0.2732,3
TRUE,0.2,0.6,1.8519253067,0.082,2.6642107115,0.5012,3
TRUE,0.2,0.6,1.8460164028,0.0572,2.835740209,0.98,4
TRUE,0.2,0.6,1.8457695347,0.0236,2.8397299158,0.888,4
TRUE,0.2,0.6,1.8468090591,0.0316,2.8769005205,0.9948,4
TRUE,0.2,0.6,1.8505258207,0.0592,2.6351986635,0.7012,3
TRUE,0.2,0.8,1.8498366652,0.1168,2.6562202736,0.482,3
TRUE,0.2,0.8,1.8480871928,0.0416,2.7204077393,0.548,3
TRUE,0.2,0.8,1.8494994138,0.0444,2.6304774602,0.8976,3
TRUE,0.2,0.8,1.8445882575,0.0644,2.6811372298,0.8232,3
TRUE,0.2,0.8,1.8524358699,0.1232,2.6743443874,0.2236,3
TRUE,0.2,0.8,1.8436842046,0.0112,2.8809659214,0.9344,4
TRUE,0.2,0.8,1.8482761364,0.1036,3.186944217,0.7948,6
TRUE,0.2,0.8,1.8568121465,0.0216,2.8399219264,0.5996,4
TRUE,0.2,0.8,1.8482483984,0.0028,2.802449088,0.942,4
TRUE,0.2,0.8,1.8505972547,0.1624,3.0768813071,0.9544,5
TRUE,0.2,0.8,1.8541410772,0.022,2.8348330999,0.8576,4
TRUE,0.2,0.8,1.8471888138,0.034,2.6623797602,0.79,3
TRUE,0.2,0.8,1.8456990339,0.026,2.974856887,0.81,4
TRUE,0.2,0.8,1.8548797152,0.022,2.8588066079,0.8712,4
TRUE,0.2,0.8,1.8509002837,0.0108,2.6189861128,0.9124,3
TRUE,0.2,0.8,1.8435017387,0.0024,2.7225557353,0.84,3
TRUE,0.2,0.8,1.8468502049,0.0132,2.7331689074,0.7284,3
TRUE,0.2,0.8,1.8471068211,0.0256,2.846953173,0.9984,4
TRUE,0.2,0.8,1.8532873432,0.1464,2.8192599346,0.9868,4
TRUE,0.2,0.8,1.8522408231,0.1916,2.6185696363,0.2128,3
TRUE,0.2,0.8,1.8509628624,0.026,2.6752740267,0.8968,3
TRUE,0.2,0.8,1.838232002,0.03,3.0710961661,0.472,5
TRUE,0.2,0.8,1.8414274157,0.0076,2.9361318994,0.9404,4
TRUE,0.2,0.8,1.8511887371,0.0284,2.6511678025,0.8136,3
TRUE,0.2,0.8,1.8479503711,0.0976,2.8006242276,0.7116,4
TRUE,0.2,0.8,1.8477299458,0.0172,2.8564084176,0.88,4
TRUE,0.2,0.8,1.8566829588,0.0752,2.9186687059,0.9924,5
TRUE,0.2,0.8,1.8508792567,0.1056,3.4962677882,0.4316,9
TRUE,0.2,0.8,1.8466078308,0.062,2.6601972641,0.8616,3
TRUE,0.2,0.8,1.8464194133,0.0176,2.8986070074,0.9876,4
TRUE,0.2,0.8,1.8500118147,0.0028,2.8319584445,0.918,4
TRUE,0.2,0.8,1.8451021254,0.1188,2.6642321408,0.416,3
TRUE,0.2,0.8,1.8468368555,0.4416,2.3552460772,0.2584,2
TRUE,0.2,0.8,1.8541841423,0.2792,2.6064900472,0.5928,3
TRUE,0.2,0.8,1.844509696,0.0068,2.8518855568,0.9984,4
TRUE,0.2,0.8,1.851083963,0.0108,2.7748031671,0.9524,4
TRUE,0.2,0.8,1.8470846946,0.0464,2.7799351578,0.8804,4
TRUE,0.2,0.8,1.8501829112,0.0616,3.0388585936,0.7952,5
TRUE,0.2,0.8,1.8500551052,0.0184,2.8651562966,0.97,4
TRUE,0.2,0.8,1.8468842536,0.014,2.6887546455,0.7312,3
TRUE,0.2,0.8,1.8507184345,0.07,2.8507083758,0.978,4
TRUE,0.2,0.8,1.8450004608,0.0772,2.6138030813,0.6792,3
TRUE,0.2,0.8,1.8522908366,0.132,2.6211959053,0.6456,3
TRUE,0.2,0.8,1.8400282222,0.0012,3.1237553603,0.8212,5
TRUE,0.2,0.8,1.8479918931,0.0236,2.7178788205,0.7296,3
TRUE,0.2,0.8,1.8440803828,0.1708,3.2658550256,0.7472,6
TRUE,0.2,0.8,1.8571117377,0.0304,2.8617868387,0.5844,4
TRUE,0.2,0.8,1.8577084893,0.016,2.9288158753,0.7604,4
TRUE,0.2,0.8,1.8551122929,0.5788,2.9407377606,0.682,4
TRUE,0.2,0.8,1.8495652635,0.118,2.6358672984,0.5148,3
TRUE,0.2,0.8,1.8505388779,0.0692,2.6210315408,0.5536,3
TRUE,0.2,0.8,1.8437687548,0.0032,2.6701651741,0.93,3
TRUE,0.2,0.8,1.8426720033,0.0116,2.7244206784,0.868,3
TRUE,0.2,0.8,1.8516670467,0.1204,3.0811171072,0.9352,5
TRUE,0.2,0.8,1.8479309326,0.0548,2.9199038321,0.9304,4
TRUE,0.2,0.8,1.8446979834,0.0072,2.6985965495,0.7076,3
TRUE,0.2,0.8,1.8471216222,0.0488,2.9199675005,0.9004,4
TRUE,0.2,0.8,1.8454401392,0.0052,2.6926022383,0.0416,3
TRUE,0.2,0.8,1.8478300195,0.0256,2.6834107179,0.7804,3
TRUE,0.2,0.8,1.8529309488,0.08,2.8360706019,0.7288,4
TRUE,0.2,0.8,1.8483754922,0.0024,2.6239880677,0.9348,3
TRUE,0.2,0.8,1.8536509418,0.0388,2.6730353109,0.6636,3
TRUE,0.2,0.8,1.853791485,0.1728,2.9788594574,0.8508,5
TRUE,0.2,0.8,1.845908323,0.0156,2.9309174781,0.9824,4
TRUE,0.2,0.8,1.8473607841,0.2784,3.2196280222,0.9936,6
TRUE,0.2,0.8,1.8412427968,0,2.750065805,0.654,3
TRUE,0.2,0.8,1.851739719,0.0192,2.6607067606,0.4724,3
TRUE,0.2,0.8,1.8489742326,0.0512,2.8526159892,0.6348,4
TRUE,0.2,0.8,1.8480545232,0.0228,2.7205367869,0.6196,3
TRUE,0.2,0.8,1.8478181815,0.0624,2.6474584816,0.7152,3
TRUE,0.2,0.8,1.8570068349,0.1428,2.6247329481,0.678,3
TRUE,0.2,0.8,1.8482944942,0.09,2.6455020611,0.596,3
TRUE,0.2,0.8,1.8527236021,0.0396,2.5987968924,0.7108,3
TRUE,0.2,0.8,1.8473221676,0.0324,2.7289435961,0.452,3
TRUE,0.2,0.8,1.8509470133,0.33,2.608295764,0.4408,3
TRUE,0.2,0.8,1.84260131,0.002,3.1662551842,0.5284,5
TRUE,0.2,0.8,1.8486326243,0.126,3.0225857834,0.8684,6
TRUE,0.2,0.8,1.8526754547,0.0148,2.8887552409,0.67,4
TRUE,0.2,0.8,1.8452049679,0.002,2.9109416765,0.994,4
TRUE,0.2,0.8,1.8431786157,0.0044,2.7470506469,0.2988,3
TRUE,0.2,0.8,1.8404926298,0.0188,2.9032206294,0.586,4
TRUE,0.2,0.8,1.8475745672,0.2116,2.9866925695,0.6632,5
TRUE,0.2,0.8,1.85084655,0.3268,3.0675323234,0.8924,5
TRUE,0.2,0.8,1.8426905005,0.1716,3.0894736985,0.9204,5
TRUE,0.2,0.8,1.8538570697,0.0412,2.8358989022,0.996,4
TRUE,0.2,0.8,1.8540702205,0.3808,3.2111707646,0.8436,6
TRUE,0.2,0.8,1.8592426544,0.0896,3.0488822541,0.7008,6
TRUE,0.2,0.8,1.843601389,0.0196,2.6538528527,0.4668,3
TRUE,0.2,0.8,1.8535486581,0.2624,2.9785625333,0.85,5
TRUE,0.2,0.8,1.8488662528,0.0208,2.6856000174,0.9276,3
TRUE,0.2,0.8,1.8534139594,0.0472,2.6054017127,0.5116,3
TRUE,0.2,0.8,1.8442760331,0.0084,2.6936644528,0.2048,3
TRUE,0.2,0.8,1.8523736414,0.088,2.6752052397,0.5952,3
TRUE,0.2,0.8,1.8475856781,0.022,2.6684852008,0.8024,3
TRUE,0.2,0.8,1.844765908,0.0148,2.4121344423,0.5364,2
TRUE,0.2,0.8,1.8480238781,0.0128,3.197986062,0.7224,6
TRUE,0.2,0.8,1.8476882883,0.3876,3.2280524098,0.9264,6
TRUE,0.2,0.8,1.8440138833,0.0176,2.6782337434,0.7272,3
TRUE,0.2,0.8,1.8462673414,0.0016,2.7443768369,0.7936,3
TRUE,0.2,0.8,1.8523666528,0.3268,3.0313975975,0.7436,5
TRUE,0.2,1,1.8370746561,0.1108,2.6611898701,0.5048,3
TRUE,0.2,1,1.853911258,0.0804,2.7830974358,0.8408,4
TRUE,0.2,1,1.8488066858,0.1056,3.0269495175,0.9168,5
TRUE,0.2,1,1.847069356,0.0988,2.6466389842,0.3732,3
TRUE,0.2,1,1.8598627859,0.0216,2.6587504779,0.7796,3
TRUE,0.2,1,1.8483171914,0.1136,2.9004074494,0.8448,4
TRUE,0.2,1,1.8460251121,0.0608,3.1765093094,0.6432,6
TRUE,0.2,1,1.8509494141,0.0256,2.8610022069,0.9568,4
TRUE,0.2,1,1.853009404,0.2192,3.0754350949,0.7328,5
TRUE,0.2,1,1.8511098543,0.046,2.6416001889,0.1476,3
TRUE,0.2,1,1.852638695,0.3444,3.1984383656,0.8808,6
TRUE,0.2,1,1.8449034143,0.128,3.1884013765,0.6648,5
TRUE,0.2,1,1.8509338338,0.2272,3.3732519896,0.6884,8
TRUE,0.2,1,1.8424140839,0.0068,2.7125711404,0.5164,3
TRUE,0.2,1,1.8494151426,0.2404,2.5928417259,0.482,3
TRUE,0.2,1,1.8451730301,0.044,3.026282143,0.838,5
TRUE,0.2,1,1.8539109553,0.2104,2.9210923904,0.8796,4
TRUE,0.2,1,1.849559729,0.0336,3.0305494111,0.9592,5
TRUE,0.2,1,1.84462537,0.1928,3.3126988062,0.9768,6
TRUE,0.2,1,1.8491134,0.0344,2.6259621873,0.6088,3
TRUE,0.2,1,1.8529733765,0.3172,3.583858054,0.7908,8
TRUE,0.2,1,1.8471830024,0.0064,3.0796916908,0.9508,7
TRUE,0.2,1,1.8446063011,0.012,2.7401202089,0.8128,3
TRUE,0.2,1,1.8491525972,0.0152,2.8963214452,0.9008,4
TRUE,0.2,1,1.8491947842,0.0268,2.8688435605,0.962,4
TRUE,0.2,1,1.848710165,0.0184,2.85058582,0.986,4
TRUE,0.2,1,1.8507909947,0.0784,3.1445041532,0.8556,6
TRUE,0.2,1,1.848234344,0.0404,2.8341796821,0.8384,4
TRUE,0.2,1,1.8432407807,0.0008,2.7229962624,0.8264,3
TRUE,0.2,1,1.8424784655,0.0876,3.1661221888,0.9724,5
TRUE,0.2,1,1.8460889931,0.008,2.9323722029,0.5308,4
TRUE,0.2,1,1.8436583688,0.0156,2.9194115885,0.6012,4
TRUE,0.2,1,1.8578322572,0.0092,2.6945466216,0.8164,3
TRUE,0.2,1,1.8558369913,0.0724,2.8626568376,0.4436,4
TRUE,0.2,1,1.8513711942,0.0496,2.9544793675,0.9692,5
TRUE,0.2,1,1.8589688485,0.0312,2.7994403105,0.506,4
TRUE,0.2,1,1.8389077372,0.0108,3.1096275226,0.6772,5
TRUE,0.2,1,1.8500698873,0.062,2.8712394371,0.7952,4
TRUE,0.2,1,1.8550160055,0.0944,2.4005332689,0.222,2
TRUE,0.2,1,1.8491765762,0.1096,2.8076452275,0.718,4
TRUE,0.2,1,1.8438642283,0.106,3.3536055828,0.654,6
TRUE,0.2,1,1.8474448853,0.0016,2.8534221608,0.986,4
TRUE,0.2,1,1.8491825388,0.0064,2.8597184756,0.9576,4
TRUE,0.2,1,1.8543805447,0.0776,2.8994671884,0.95,4
TRUE,0.2,1,1.8459923517,0.036,3.0941259335,0.782,5
TRUE,0.2,1,1.8466921481,0.0092,2.8459384934,0.8376,4
TRUE,0.2,1,1.8482338675,0,2.9869742111,0.8472,5
TRUE,0.2,1,1.8522048527,0.0204,2.6622916612,0.5532,3
TRUE,0.2,1,1.8473357696,0.1444,2.4056883536,0.072,2
TRUE,0.2,1,1.8424966195,0.002,2.974933253,0.796,4
TRUE,0.2,1,1.8523222555,0.4544,3.2102271371,0.836,6
TRUE,0.2,1,1.847082662,0.324,3.1030225011,0.6852,5
TRUE,0.2,1,1.8501900212,0.1452,2.5782223653,0.372,3
TRUE,0.2,1,1.8480726994,0.0236,2.839700798,0.884,4
TRUE,0.2,1,1.8492759894,0.006,2.7272867772,0.8604,3
TRUE,0.2,1,1.8456469041,0.08,2.6411042806,0.3656,3
TRUE,0.2,1,1.8445222066,0.0044,2.7167229168,0.6604,3
TRUE,0.2,1,1.8535285415,0.0824,2.7016116901,0.6016,3
TRUE,0.2,1,1.8556477206,0.1192,2.8232591031,0.9916,4
TRUE,0.2,1,1.8559701067,0.2912,2.5823923331,0.5724,3
TRUE,0.2,1,1.8488887657,0.0144,2.7089339231,0.4264,3
TRUE,0.2,1,1.8444892259,0.1108,2.6556591646,0.2092,3
TRUE,0.2,1,1.8570783483,0.0852,2.7652362311,0.8984,4
TRUE,0.2,1,1.855014984,0.0056,2.6736216738,0.7564,3
TRUE,0.2,1,1.8447960557,0.0316,2.9139295054,0.7392,4
TRUE,0.2,1,1.8571291086,0.1292,2.5898601109,0.3848,3
TRUE,0.2,1,1.8483957151,0.0128,2.6690560562,0.6268,3
TRUE,0.2,1,1.8515825316,0.2404,2.8574550988,0.678,4
TRUE,0.2,1,1.849908745,0.1144,2.6424620803,0.54,3
TRUE,0.2,1,1.8463794554,0.1488,3.2202853396,0.662,6
TRUE,0.2,1,1.8469663333,0.012,2.8899573643,0.6152,4
TRUE,0.2,1,1.8491037165,0.1836,2.6901028518,0.45,3
TRUE,0.2,1,1.8473830512,0.0444,2.6819837847,0.4756,3
TRUE,0.2,1,1.8463180682,0.0092,2.8645430269,0.8704,4
TRUE,0.2,1,1.8401672058,0.0032,3.1198681872,0.8636,5
TRUE,0.2,1,1.8597093703,0.2332,2.9394481463,0.7724,5
TRUE,0.2,1,1.843399804,0.0172,3.1377884975,0.958,5
TRUE,0.2,1,1.8520929286,0.0032,2.8389278778,0.982,4
TRUE,0.2,1,1.8415804245,0.0032,2.648983693,0.8888,3
TRUE,0.2,1,1.8444674237,0.0536,3.0521756684,0.9944,5
TRUE,0.2,1,1.8455863625,0.0016,2.9152026335,0.4772,4
TRUE,0.2,1,1.8420450564,0.0032,2.8611143474,0.8568,4
TRUE,0.2,1,1.8493543414,0.0216,2.6498829181,0.6912,3
TRUE,0.2,1,1.8480951425,0.3316,2.6741075878,0.4336,3
TRUE,0.2,1,1.8417258803,0.0516,3.0459367441,0.9776,5
TRUE,0.2,1,1.851647498,0.1548,2.6151157176,0.3588,3
TRUE,0.2,1,1.8476108899,0.0036,2.7186542961,0.9032,3
TRUE,0.2,1,1.8430618866,0.118,3.0465887528,0.8116,5
TRUE,0.2,1,1.8524642584,0.0808,2.682570004,0.5728,3
TRUE,0.2,1,1.8465943439,0.0128,2.6847496468,0.8992,3
TRUE,0.2,1,1.8551890727,0.0076,2.6338372999,0.9392,3
TRUE,0.2,1,1.855851888,0.0728,2.6721977361,0.7184,3
TRUE,0.2,1,1.8437700816,0.0024,2.8681256942,0.666,4
TRUE,0.2,1,1.8528178423,0.1772,2.6186239422,0.792,3
TRUE,0.2,1,1.8432838815,0.0236,2.6604968381,0.5356,3
TRUE,0.2,1,1.8420803823,0.0024,2.9458757331,0.8104,4
TRUE,0.2,1,1.8480367805,0.0116,2.9486906591,0.876,4
TRUE,0.2,1,1.8493543979,0.0588,2.6514279421,0.2764,3
TRUE,0.2,1,1.8446892567,0.0096,2.728253603,0.892,3
TRUE,0.2,1,1.8465526047,0.0136,2.6781968185,0.7564,3
TRUE,0.4,0,1.8159032677,0.0128,2.7470970071,0.8312,4
TRUE,0.4,0,1.8218810773,0.0056,2.5563594304,0.2176,3
TRUE,0.4,0,1.8275367523,0.034,2.7236235222,0.704,4
TRUE,0.4,0,1.8126186883,0.0208,2.5950479023,0.2604,3
TRUE,0.4,0,1.8153432432,0.0396,2.8100445579,0.95,4
TRUE,0.4,0,1.8149404144,0.0064,2.849222434,0.9668,5
TRUE,0.4,0,1.8182330815,0.0072,2.6941416593,0.922,4
TRUE,0.4,0,1.813618441,0.0108,2.9350546961,0.8788,7
TRUE,0.4,0,1.8236997219,0.02,2.7335448763,0.8816,4
TRUE,0.4,0,1.823383533,0.3584,2.7443976696,0.5996,4
TRUE,0.4,0,1.8201212607,0.2308,2.7373041219,0.6728,4
TRUE,0.4,0,1.8087336392,0.0032,2.8933086738,0.984,5
TRUE,0.4,0,1.8184366206,0.0132,3.1575400035,0.9216,8
TRUE,0.4,0,1.8094508129,0.0268,2.5812726601,0.4208,3
TRUE,0.4,0,1.8157933811,0.1448,2.2765595828,0.1556,2
TRUE,0.4,0,1.8171604163,0.006,2.5518620445,0.4348,3
TRUE,0.4,0,1.8151568751,0.1676,2.527036997,0.4592,3
TRUE,0.4,0,1.8128202917,0.0476,2.5801833712,0.5548,3
TRUE,0.4,0,1.8162499918,0.072,2.7291131915,0.8852,4
TRUE,0.4,0,1.8180959105,0.05,2.5833306098,0.7344,3
TRUE,0.4,0,1.8180347154,0.0256,2.5553550111,0.8044,3
TRUE,0.4,0,1.8256860663,0.6488,2.5111704451,0.1612,3
TRUE,0.4,0,1.8156373617,0.1816,2.5442654102,0.5732,3
TRUE,0.4,0,1.819318826,0.0304,2.5791993542,0.8104,3
TRUE,0.4,0,1.8204507718,0.006,2.758766745,0.9004,4
TRUE,0.4,0,1.8204999406,0.1208,2.7190467416,0.606,4
TRUE,0.4,0,1.8172759175,0.0492,2.730658761,0.5888,4
TRUE,0.4,0,1.822335912,0.0944,2.7194146263,0.4092,4
TRUE,0.4,0,1.8121547522,0.0136,2.761926868,0.756,4
TRUE,0.4,0,1.8209141444,0.2752,2.8107931413,0.938,5
TRUE,0.4,0,1.8219641294,0.0576,2.763733318,0.8708,4
TRUE,0.4,0,1.8202224237,0.1084,2.9249838416,0.7424,5
TRUE,0.4,0,1.8189849466,0.004,2.7382397511,0.6752,4
TRUE,0.4,0,1.8187879173,0.0548,2.362451167,0.5448,2
TRUE,0.4,0,1.8159900547,0.0088,2.7648052191,0.8376,4
TRUE,0.4,0,1.8177976415,0.0616,2.541970957,0.9168,3
TRUE,0.4,0,1.8176599787,0.2368,2.8118707124,0.5412,5
TRUE,0.4,0,1.8213283972,0.222,2.4986936968,0.7192,3
TRUE,0.4,0,1.8098588582,0.0164,2.7856160328,0.9796,4
TRUE,0.4,0,1.8165236167,0.0192,2.5493775204,0.6452,3
TRUE,0.4,0,1.8162543864,0.0448,2.8593331368,0.9972,5
TRUE,0.4,0,1.8196541224,0.0256,2.6211439565,0.8564,3
TRUE,0.4,0,1.8140423269,0.0112,2.6449781001,0.5304,3
TRUE,0.4,0,1.815161183,0.008,2.8777684389,0.668,6
TRUE,0.4,0,1.8209111828,0.1964,2.5365576156,0.4888,3
TRUE,0.4,0,1.8220761615,0.0112,2.7666446306,0.272,4
TRUE,0.4,0,1.8178618226,0.05,2.8916643025,0.6916,6
TRUE,0.4,0,1.8194965471,0.4848,2.9550706377,0.8592,5
TRUE,0.4,0,1.8171450614,0.31,3.0034639266,0.5308,6
TRUE,0.4,0,1.81743663,0.1216,2.5086192154,0.3284,3
TRUE,0.4,0,1.8174371363,0.0108,2.6937153762,0.9804,4
TRUE,0.4,0,1.8131120492,0.0488,2.9269740411,0.6664,6
TRUE,0.4,0,1.8128429137,0.0292,2.7802542051,0.4524,4
TRUE,0.4,0,1.8181389744,0.3008,3.0306824652,0.6296,6
TRUE,0.4,0,1.8184323906,0.2372,2.86980126,0.91,5
TRUE,0.4,0,1.8132801634,0.026,2.8772441849,0.984,5
TRUE,0.4,0,1.8156777935,0.0336,2.5480999711,0.7168,3
TRUE,0.4,0,1.8152811216,0.1264,2.5660891702,0.6708,3
TRUE,0.4,0,1.8231321161,0.3164,3.0984438753,0.6592,7
TRUE,0.4,0,1.809501792,0.0132,3.1390645653,0.5692,6
TRUE,0.4,0,1.8210275024,0.056,2.7235562332,0.8356,4
TRUE,0.4,0,1.8186163134,0.2188,3.1344931763,0.884,8
TRUE,0.4,0,1.8208795328,0.0168,2.7392890355,0.988,4
TRUE,0.4,0,1.8129463511,0.0328,2.7455509905,0.612,4
TRUE,0.4,0,1.8238768051,0.3048,2.5604939659,0.4276,3
TRUE,0.4,0,1.8262671513,0.3892,2.8216573182,0.658,5
TRUE,0.4,0,1.8145609905,0.0064,2.8088071365,0.646,4
TRUE,0.4,0,1.8204923761,0.0572,2.844881528,0.906,5
TRUE,0.4,0,1.8136944766,0.0872,2.5799534566,0.7824,3
TRUE,0.4,0,1.8270263063,0.0376,2.5274369737,0.784,3
TRUE,0.4,0,1.8199208359,0.028,2.5703741346,0.7612,3
TRUE,0.4,0,1.8246210676,0.152,2.5425195518,0.0672,3
TRUE,0.4,0,1.8158879523,0.0488,2.8020375008,0.7548,4
TRUE,0.4,0,1.8209981488,0.1772,2.5327606325,0.6816,3
TRUE,0.4,0,1.8145375476,0.0148,2.5750199478,0.5856,3
TRUE,0.4,0,1.8140211738,0.3372,2.9100788244,0.2836,5
TRUE,0.4,0,1.8160374623,0.0228,2.7687691624,0.9264,4
TRUE,0.4,0,1.8161871629,0.1004,2.8944108584,1,5
TRUE,0.4,0,1.8092293451,0.06,2.9463808631,0.8652,5
TRUE,0.4,0,1.8241435178,0.3928,2.5443041767,0.3204,3
TRUE,0.4,0,1.8166085844,0.1048,2.9325765067,0.886,5
TRUE,0.4,0,1.8234436137,0.2696,2.8763611794,0.9312,5
TRUE,0.4,0,1.8211889449,0.0008,2.7936345151,0.7872,7
TRUE,0.4,0,1.8193032638,0.026,2.7284762589,0.7804,4
TRUE,0.4,0,1.8152601202,0.1456,2.3062288529,0.2052,2
TRUE,0.4,0,1.8099256613,0.102,2.8275273118,0.4972,4
TRUE,0.4,0,1.8137125126,0.0592,2.9317108626,0.9712,5
TRUE,0.4,0,1.8260257862,0.0976,2.6956590604,0.8252,4
TRUE,0.4,0,1.812307432,0.0448,3.0273696889,0.8888,6
TRUE,0.4,0,1.816186808,0.016,2.9317482529,0.4388,5
TRUE,0.4,0,1.8225109344,0.0212,2.7771254346,0.8664,4
TRUE,0.4,0,1.8181531136,0.0608,2.7103621686,0.982,4
TRUE,0.4,0,1.8212176393,0.1356,3.0333164275,0.766,6
TRUE,0.4,0,1.8218352202,0.028,2.5717783271,0.6488,3
TRUE,0.4,0,1.8219589183,0.4376,2.7391240648,0.5148,4
TRUE,0.4,0,1.820699129,0.0088,2.8326911252,0.876,4
TRUE,0.4,0,1.8149918974,0.2748,3.2563259618,0.3296,7
TRUE,0.4,0,1.8123947064,0.0592,2.9083279041,0.954,5
TRUE,0.4,0,1.8233590815,0.0796,2.7295222309,0.8616,4
TRUE,0.4,0,1.8166690326,0.0372,2.7628938143,0.6388,4
