onb,nu1,nu2,exp_all,pv_all,exp,pv,kmin
TRUE,0,0,1.8874993334,0.0012,2.7885316932,0.64,3
TRUE,0,0,1.8813235169,0.0092,3.5630536302,0.9944,6
TRUE,0,0,1.890525914,0.1208,2.7578995562,0.4832,3
TRUE,0,0,1.8945620727,0.0496,2.7755832033,0.5908,3
TRUE,0,0,1.8868533777,0.0288,2.8167196672,0.8148,3
TRUE,0,0,1.8853143999,0.0356,3.1888547244,0.972,5
TRUE,0,0,1.8809449365,0.0152,2.8152479348,0.78,3
TRUE,0,0,1.8839612232,0.0124,2.8169477053,0.8204,3
TRUE,0,0.2,1.8805356602,0.0008,3.0225809572,0.9692,4
TRUE,0,0.2,1.890629284,0.002,2.927147199,0.9076,4
TRUE,0,0.2,1.8900514147,0.0736,2.4860665424,0.3408,2
TRUE,0,0.2,1.8924296015,0.036,3.2045346728,0.7852,5
TRUE,0,0.2,1.8771486971,0.0008,3.1357191375,0.8932,4
TRUE,0,0.2,1.885589257,0.042,3.0336387948,0.6248,4
TRUE,0,0.2,1.8897753098,0.2304,3.3674511192,0.53,10
TRUE,0,0.2,1.88598006,0.0564,2.4961503309,0.3716,2
TRUE,0,0.2,1.879266517,0.0028,2.8714704592,0.31,3
TRUE,0,0.2,1.897674921,0.1764,3.148994404,0.6548,5
TRUE,0,0.2,1.8857457126,0.0112,2.768504212,0.7124,3
TRUE,0,0.2,1.8833189322,0.2024,3.5577033507,0.9916,6
TRUE,0,0.2,1.888985137,0.0188,3.0606736455,0.7232,4
TRUE,0,0.2,1.886491431,0.01,3.0255755573,0.9964,4
TRUE,0,0.2,1.8871016726,0.0196,3.0327363875,0.6932,4
TRUE,0,0.2,1.8833969467,0.0028,3.0615375792,0.8188,4
TRUE,0,0.2,1.8920191995,0.3836,3.5417685795,0.8676,7
TRUE,0,0.2,1.8868292163,0.0024,3.0490442825,0.9816,5
TRUE,0,0.2,1.8896736743,0.0452,2.8280911448,0.5508,3
TRUE,0,0.2,1.8903391861,0.026,2.9779149285,0.9208,4
TRUE,0,0.2,1.8864158105,0.0116,2.8712227249,0.7784,3
TRUE,0,0.2,1.8784653934,0.0036,3.0927978371,0.9608,4
TRUE,0,0.2,1.8807107521,0.004,2.9007422377,0.9504,3
TRUE,0,0.2,1.8856535342,0,2.8303095422,0.7244,3
TRUE,0,0.2,1.8861353957,0.0272,3.025552003,0.7888,4
TRUE,0,0.2,1.8890010094,0.0856,3.2004567426,0.7964,5
TRUE,0,0.2,1.8879810478,0,2.8172505983,0.8332,3
TRUE,0,0.2,1.8857525106,0.0204,2.7919217113,0.168,3
TRUE,0,0.2,1.8883075708,0.054,3.3258501416,0.652,5
TRUE,0,0.2,1.8938565345,0.0652,2.7560435476,0.8588,3
TRUE,0,0.2,1.8849005186,0.0372,3.103077624,0.808,4
TRUE,0,0.2,1.8851806593,0.0136,2.8032065701,0.7808,3
TRUE,0,0.2,1.888790691,0.0664,3.0028989699,0.9088,4
TRUE,0,0.2,1.886597958,0.1364,3.055129461,0.5832,4
TRUE,0,0.2,1.8927871159,0.0288,2.7372472945,0.8136,3
TRUE,0,0.2,1.8915284988,0.0772,2.9704916888,0.9168,4
TRUE,0,0.2,1.8898828566,0.1092,3.0432655627,0.6476,4
TRUE,0,0.2,1.89660578,0.0344,2.7185109596,0.846,3
TRUE,0,0.2,1.8907865235,0.0672,2.9724919157,0.9744,4
TRUE,0,0.2,1.88789837,0.0664,3.0762164914,0.4304,4
TRUE,0,0.2,1.8817459249,0.0772,3.4974799763,0.2848,5
TRUE,0,0.2,1.8880703922,0.0308,2.7975528594,0.9284,3
TRUE,0,0.2,1.8896211648,0.2668,2.7276696771,0.3588,3
TRUE,0,0.2,1.892968783,0.224,2.4705388383,0.2168,2
TRUE,0,0.2,1.8912846825,0.0756,3.0173601189,0.842,4
TRUE,0,0.2,1.8856824441,0.0496,3.5253046757,0.9416,7
TRUE,0,0.2,1.8885096743,0.0192,2.8471775344,0.61,3
TRUE,0,0.2,1.8838545189,0.008,3.2470183331,0.5056,5
TRUE,0,0.2,1.8884308876,0.222,3.0361902809,0.3176,4
TRUE,0,0.2,1.891271818,0.0124,2.8622338905,0.8148,3
TRUE,0,0.2,1.8865745449,0.0464,3.075528847,0.6728,4
TRUE,0,0.2,1.8928629821,0.0164,3.0176316695,0.7664,4
TRUE,0,0.2,1.8815002015,0.0272,3.3917459411,0.9376,5
TRUE,0,0.2,1.888157855,0.1488,3.3008999706,0.7436,5
TRUE,0,0.2,1.8854858857,0.0152,2.8513273838,0.7984,3
TRUE,0,0.2,1.892448968,0.0964,3.1610155994,0.998,5
TRUE,0,0.2,1.8928634621,0.1272,2.7938619373,0.4484,3
TRUE,0,0.2,1.888903671,0.2192,3.1053157249,0.678,4
TRUE,0,0.2,1.8920271043,0.0668,2.7801923144,0.506,3
TRUE,0,0.2,1.9008972032,0.0712,2.6409722522,0.8688,3
TRUE,0,0.2,1.8916014228,0.0704,3.3754679843,0.5644,6
TRUE,0,0.2,1.8850597501,0.0044,3.030639559,0.74,4
TRUE,0,0.2,1.8875930951,0.0116,2.8045155471,0.6192,3
TRUE,0,0.2,1.8926461173,0.1308,3.0392173632,0.7572,4
TRUE,0,0.2,1.8836730879,0.0756,3.4123542582,0.5488,5
TRUE,0,0.2,1.8867753631,0.1468,3.2500213407,0.5984,5
TRUE,0,0.2,1.8822629173,0.0004,2.8611351798,0.572,3
TRUE,0,0.2,1.8886674961,0.0068,2.7214486275,0.7976,3
TRUE,0,0.2,1.8864605457,0.0044,3.2172688055,0.8748,5
TRUE,0,0.2,1.886591977,0.0228,2.8881320982,0.62,3
TRUE,0,0.2,1.8888744886,0.0012,2.9169545414,0.9552,4
TRUE,0,0.2,1.8808302038,0.0024,2.8827822594,0.476,3
TRUE,0,0.2,1.8842058148,0.0116,3.6361051406,0.8432,7
TRUE,0,0.2,1.8880565429,0.0268,2.8492935718,0.628,3
TRUE,0,0.2,1.8883314478,0.0072,2.8154076743,0.6724,3
TRUE,0,0.2,1.8910407576,0.3384,3.2079470434,0.8124,5
TRUE,0,0.2,1.8868072983,0.0068,2.8399631238,0.8484,3
TRUE,0,0.2,1.8892070332,0.1656,3.2624008281,0.9456,5
TRUE,0,0.2,1.8908878923,0.0244,2.7823526121,0.8828,3
TRUE,0,0.2,1.8895511997,0.022,3.1432129214,0.504,4
TRUE,0,0.2,1.8872917761,0.0316,3.2439989262,0.3752,5
TRUE,0,0.2,1.8833623688,0.0088,2.9107300243,0.5476,3
TRUE,0,0.2,1.8904450407,0.0016,2.7328013057,0.732,3
TRUE,0,0.2,1.8828998222,0.0004,2.7760487734,0.7536,3
TRUE,0,0.2,1.8916547125,0.2236,2.7945167118,0.128,3
TRUE,0,0.2,1.8960126939,0.0388,2.7779670216,0.3072,3
TRUE,0,0.2,1.893260681,0.0052,2.8076846386,0.9768,3
TRUE,0,0.2,1.8944424994,0.0368,2.793658684,0.52,3
TRUE,0,0.2,1.8805473388,0.0052,2.8132190942,0.66,3
