alpha_all;p_value_all;alpha;p_value;xmin
1.81945988289;0.116;2.71193448059;0.8924;4.0
1.8150119135;0.0028;2.71897870031;0.9164;4.0
1.81553015059;0.0096;2.80274966386;0.958;4.0
1.81322710318;0.0668;2.56714875464;0.9548;3.0
1.81682639511;0.0044;2.64023040434;0.9188;3.0
1.81703924752;0.2296;2.86843789091;0.7192;5.0
1.817938322;0.0144;2.75263766224;0.9756;4.0
1.82522715447;0.0284;2.54851953587;0.8316;3.0
1.82657758254;0.1016;2.77506476537;0.728;4.0
1.81900072027;0.1684;2.86841510769;0.9064;6.0
1.81537491392;0.0612;2.58648215147;0.9272;3.0
1.82128641429;0.0372;2.5596357818;0.532;3.0
1.8140200005;0.0068;2.85038458827;0.8756;6.0
1.81437188011;0.0304;2.87820632116;0.5848;5.0
1.8136196554;0.1112;2.54663710479;0.3884;3.0
1.82489057033;0.0736;2.84524407131;0.9888;5.0
1.82391885924;0.1132;2.59309129982;0.5984;3.0
1.81728058508;0.1504;2.76439065202;0.48;4.0
1.81248984911;0.01;2.84384513622;0.8264;4.0
1.81492413871;0.0708;2.74502095382;0.8144;4.0
1.8227984054;0.1152;2.8677468225;0.54;5.0
1.81041908991;0.014;2.60502208472;0.8036;3.0
1.82490336092;0.034;2.71482100051;0.8464;4.0
1.82434772022;0.0624;2.60510490427;0.7792;3.0
1.81990520679;0.0656;2.60315257057;0.9508;3.0
1.82195225218;0.252;3.08803954324;0.8764;7.0
1.81969636455;0.204;2.5125646703;0.418;3.0
1.81935812601;0.0816;2.55854200633;0.6928;3.0
1.82436426939;0.4404;2.88137972741;0.6888;5.0
1.81860595383;0.0828;2.56440327085;0.3748;3.0
1.81877663366;0.0032;2.60249067071;0.6212;3.0
1.82118140621;0.0168;2.79709833938;0.8452;4.0
1.81915717185;0.0748;2.54388392683;0.3732;3.0
1.81040395877;0.0052;2.96688731408;0.794;5.0
1.81948803601;0.1364;2.5843655062;0.3396;3.0
1.81478784057;0.0268;2.73805471698;0.8176;4.0
1.821593301;0.1996;2.52004057514;0.5624;3.0
1.82084342386;0.1;2.56483914205;0.7108;3.0
1.82247511922;0.042;2.80773785094;0.3328;4.0
1.8209930077;0.168;2.965475298;0.9324;7.0
1.81307630113;0.1364;3.10893602183;0.9504;6.0
1.81409365882;0.0236;2.59532747948;0.302;3.0
1.82143211229;0.2028;2.94030627778;0.948;5.0
1.82022123498;0.0484;2.55171971905;0.7088;3.0
1.8221396406;0.1704;2.53272780883;0.8444;3.0
1.81943663781;0.0008;2.8088690002;0.2924;4.0
1.80957077761;0.0148;2.97493629659;0.842;6.0
1.81934872535;0.0328;2.60989946278;0.7148;3.0
1.81345034606;0.0524;3.13043640912;0.4124;8.0
1.82013155274;0.1088;2.58891309355;0.2424;3.0
1.81381516675;0.0388;2.9525336967;0.8724;5.0
1.82633032956;0.018;2.60577372551;0.9388;3.0
1.82585588732;0.1008;2.52204146398;0.6612;3.0
1.81560661589;0.0524;2.94711089861;0.3888;5.0
1.80658906112;0.0176;2.78855534244;0.5412;4.0
1.81280211046;0.0172;2.60504761869;0.7712;3.0
1.81527259919;0.034;2.71465904248;0.4916;4.0
1.82106152738;0.122;2.77458533799;0.2472;4.0
1.82410218357;0.0328;2.7170879635;0.6336;4.0
1.80738752155;0.002;2.63131279767;0.5108;3.0
1.81383843171;0.0224;2.74925359089;0.9632;4.0
1.82151395977;0.0612;2.31957409928;0.2724;2.0
1.81762596661;0.0472;2.89241589203;0.902;5.0
1.81943811572;0.0124;2.76144647309;0.9092;4.0
1.81350849698;0.1088;2.74792378551;0.5752;4.0
1.82020917978;0.0584;2.73571688385;0.9628;4.0
1.81995681225;0.1132;2.54599742478;0.3792;3.0
1.82482167589;0.344;2.31595297156;0.5008;2.0
1.81871355394;0.1956;2.32813640446;0.2808;2.0
1.81584860393;0.0796;2.75619436073;0.7884;4.0
1.81949881429;0.1372;2.58106045419;0.3856;3.0
1.82218710857;0.096;2.79404860855;0.4452;4.0
1.82176831405;0.202;3.28225588617;0.9312;8.0
1.81375353089;0.076;2.60173734327;0.4612;3.0
1.82017840742;0.2268;2.52072141266;0.3796;3.0
1.81104421401;0.0192;2.55556358815;0.6456;3.0
1.81919790749;0.2548;3.24247119934;0.2504;8.0
1.81734254329;0.1104;2.73532039714;0.5688;4.0
1.82441073111;0.3944;2.93547497136;0.9444;6.0
1.81785896799;0.0372;2.69234709081;0.976;4.0
1.82181422993;0.0756;2.75001109029;0.6784;4.0
1.81074524198;0.0172;2.7759696721;0.944;4.0
1.82436762251;0.0004;2.64748671133;0.5788;3.0
1.81443559232;0.0012;2.61572410717;0.9724;3.0
1.82405355373;0.4904;3.24654051462;0.5892;7.0
1.82664221846;0.2964;2.68480217652;0.9668;4.0
1.82203792489;0.0612;2.69316692441;0.8592;4.0
1.81814852347;0.0476;2.74648022714;0.71;4.0
1.81784071497;0.0896;2.64740806957;0.7844;4.0
1.82582175534;0.1432;2.76271573151;0.5944;4.0
1.8128617909;0.184;2.74274612407;0.56;4.0
1.81743853028;0.1168;2.58656357072;0.81;3.0
1.82186892838;0.498;2.69836968971;0.5684;4.0
1.82160093505;0.2568;2.51333207323;0.6788;3.0
1.81402823681;0.1032;2.56748715717;0.4528;3.0
1.81817106189;0.0128;2.74527937803;0.9884;4.0
1.81401303877;0.0404;2.61529648473;0.8532;3.0
1.81585421013;0.0092;2.73110256;0.6832;4.0
1.80967101027;0.0164;2.81521680683;0.454;4.0
1.81712363353;0.0448;2.54032915457;0.71;3.0
