nu1_all;p_value_all;nu1;p_value;xmin
1.70130141978;0.0;2.70603895384;0.3676;5.0
1.70908993944;0.0;2.50929319557;0.0156;4.0
1.70454939133;0.0016;3.06097220916;0.4152;10.0
1.706104637;0.0004;2.36017437321;0.4924;3.0
1.70573917907;0.0;2.56073850609;0.9188;4.0
1.70475199899;0.0;2.75868618938;0.8268;7.0
1.70667793641;0.0024;2.35989860932;0.3708;3.0
1.70438216978;0.0;2.70725749453;0.4028;5.0
1.70636550298;0.0;2.73369064136;0.5492;6.0
1.70603767544;0.0;2.79370430397;0.9952;6.0
1.70301284688;0.0;2.55103859665;0.1872;4.0
1.70090782875;0.0;2.66364014803;0.7456;5.0
1.70097382289;0.0;2.82445606646;0.806;6.0
1.70651594861;0.0;2.7346711625;0.9036;6.0
1.70300412302;0.0008;3.07179454993;0.754;9.0
1.70323380724;0.0052;3.14651376468;0.9948;9.0
1.7045227414;0.0;2.92378616522;0.4732;8.0
1.70977615325;0.0064;2.34572094024;0.5696;3.0
1.70264427205;0.0;3.04549420941;0.4812;11.0
1.70777309021;0.0004;2.88742878615;0.5996;10.0
1.70673880277;0.0;2.58020621809;0.86;4.0
1.70298319764;0.0;2.77078413284;0.9904;6.0
1.70268498487;0.0016;2.6777052099;0.5108;5.0
1.70771809698;0.0004;2.96268034156;0.946;8.0
1.70031010853;0.0;2.72588654599;0.6964;6.0
1.70580110172;0.0;2.63757135302;0.2468;5.0
1.71222264184;0.0;2.53300172053;0.7436;4.0
1.70231422072;0.0;2.37064665101;0.0828;3.0
1.69937396077;0.0;2.76155009536;0.7452;6.0
1.70633554582;0.0088;2.63748646022;0.4928;5.0
1.69935609396;0.0;2.82021364925;0.8764;7.0
1.70143381652;0.0008;2.531027351;0.1052;4.0
1.70552143716;0.0;2.51693361171;0.7336;4.0
1.70711626756;0.0008;2.96571858098;0.9412;8.0
1.71000726098;0.0044;2.50595433137;0.352;4.0
1.7061696617;0.0;2.79114272171;0.4756;6.0
1.70369199488;0.0028;3.10436850382;0.5008;10.0
1.70927437059;0.0008;2.60112108569;0.3484;5.0
1.70348838484;0.0;3.1709479384;0.7148;12.0
1.70120762925;0.0;2.87243061028;0.968;6.0
1.70926798814;0.0;2.67532961397;0.9848;5.0
1.70478310409;0.0;2.72041992093;0.9512;6.0
1.7040918007;0.0;2.82798151172;0.9584;7.0
1.71392573681;0.0032;2.47007362179;0.5908;4.0
1.70884169146;0.0012;2.80428462342;0.716;7.0
1.69930201436;0.0;2.92433429466;0.2596;7.0
1.70129496179;0.0;2.68432431998;0.3024;5.0
1.70674825942;0.002;2.99952951104;0.9048;9.0
1.71073019971;0.0032;2.34782283511;0.3652;3.0
1.70167324005;0.0;2.37608739033;0.1928;3.0
1.70473454812;0.0;3.07614681801;0.28;13.0
1.70175299082;0.0;2.41196746891;0.4572;3.0
1.70217824021;0.0;2.58135258643;0.8616;4.0
1.71176113284;0.0016;2.60620555983;0.968;5.0
1.7074428368;0.0;2.67080959657;0.996;5.0
1.69859116251;0.0;2.79788869055;0.9172;6.0
1.70551125251;0.0028;2.72096688358;0.9392;6.0
1.69839023808;0.0;2.96696620334;0.6968;9.0
1.70419856014;0.0;2.92699133409;0.9956;7.0
1.70483680314;0.0;2.86325473244;0.9244;7.0
1.70309133549;0.0;2.6741095087;0.9712;5.0
1.70683124294;0.0;2.71177980544;0.6564;6.0
1.7005851553;0.0;2.66402366482;0.2528;5.0
1.7089523562;0.0004;2.727920619;0.6192;6.0
1.70445609736;0.0;2.52095271128;0.47;4.0
1.70373163956;0.0;2.58224769908;0.974;4.0
1.70759111126;0.004;3.02881378555;0.922;12.0
1.70821480579;0.008;3.03593481192;0.924;9.0
1.70578572696;0.0;2.38168911476;0.068;3.0
1.70233038891;0.0;2.79689367676;0.7604;6.0
1.70445328893;0.0;2.85900516488;0.9972;7.0
1.70716299877;0.0;3.03956199632;0.8824;10.0
1.70142001387;0.0;2.85611130759;0.4248;6.0
1.70499480118;0.0;2.89245904785;0.5848;7.0
1.70424741794;0.0;2.64313629209;0.5224;5.0
1.7057191827;0.0;2.69089071072;0.9948;5.0
1.70306496137;0.0008;3.21177924937;0.6012;10.0
1.70648846606;0.0016;3.03237314637;0.88;10.0
1.70430025671;0.0;2.76695665708;0.612;6.0
1.70442074008;0.0;2.79458170149;0.2552;6.0
1.70335617546;0.0;2.75938968931;0.7536;6.0
1.71148326254;0.0016;2.70751047953;0.8768;6.0
1.70109283469;0.0;2.70950370563;0.824;5.0
1.70253444538;0.0;2.54532058081;0.2592;4.0
1.70651173504;0.0044;2.65979067807;0.062;5.0
1.71125651418;0.0;2.60400746603;0.8784;5.0
1.70098831739;0.0;2.70534873857;0.6004;5.0
1.69685238605;0.0;2.81714514072;0.7096;6.0
1.70444629908;0.0;2.88947994106;0.9648;7.0
1.70638716168;0.0048;2.38122660281;0.2472;3.0
1.70199227718;0.0004;2.58356446604;0.8528;4.0
1.70193334066;0.0;2.54645807691;0.4944;4.0
1.70200271761;0.0;2.80164650211;0.598;6.0
1.70709607647;0.0036;2.50084616614;0.3496;4.0
1.70395231551;0.0008;2.35912254418;0.3564;3.0
1.70788719074;0.002;2.60886159493;0.4396;5.0
1.71114524435;0.0004;2.71688262726;0.8336;7.0
1.7052427073;0.0;2.76918726064;0.7516;6.0
1.70038903163;0.0;2.80327618621;0.87;6.0
1.71076869197;0.0;2.63970860341;0.5688;5.0
