alpha_all;p_value_all;alpha;p_value;xmin
1.7747805526;0.0948;2.54166771961;0.7716;4.0
1.7720218059;0.0688;2.41859195942;0.8456;3.0
1.77401832009;0.0028;2.47365335082;0.6396;3.0
1.771218827;0.0712;2.41161909279;0.438;3.0
1.7672674452;0.0112;2.6570096169;0.9668;5.0
1.76742727455;0.0116;2.87867852852;0.3812;6.0
1.77072471614;0.0072;2.65663706352;0.8688;5.0
1.77125700574;0.0108;2.41214015631;0.8524;3.0
1.77608254382;0.1724;2.86484620153;0.9872;8.0
1.77090943067;0.0216;2.57485535217;0.8584;4.0
1.77363989312;0.0824;2.73436152118;0.9344;5.0
1.76790029156;0.0164;2.43787777344;0.7228;3.0
1.77341834067;0.0604;2.39345209876;0.1024;3.0
1.78065033402;0.0128;2.54760472844;0.9656;4.0
1.76957807475;0.1232;2.71715055689;0.714;6.0
1.76900930231;0.018;2.70069914205;0.7404;5.0
1.77510015819;0.1;2.6887921185;0.8764;5.0
1.77242688063;0.004;2.55746963305;0.5628;4.0
1.76522272177;0.14;2.38002530071;0.2272;3.0
1.77195637604;0.0484;2.55622580124;0.7204;4.0
1.76719079657;0.0552;2.73423855468;0.8868;5.0
1.76563844098;0.0228;2.615182818;0.83;4.0
1.76793739099;0.0076;2.68597652023;0.8724;5.0
1.77165585781;0.008;2.62877067141;0.9;4.0
1.7729663445;0.0288;2.41740277132;0.2;3.0
1.77806809566;0.0128;2.39282373444;0.5436;3.0
1.77464953946;0.0796;2.57870261617;0.9988;4.0
1.77026640293;0.1708;2.41043147076;0.6068;3.0
1.76823746781;0.032;2.70566374774;0.94;5.0
1.77483111169;0.0044;2.59467600525;0.9076;4.0
1.76364664085;0.024;2.73380759617;0.9436;5.0
1.7725684244;0.5876;2.49441117675;0.3456;4.0
1.7669043468;0.0152;2.46488376511;0.67;3.0
1.77507426479;0.226;2.34572544181;0.394;3.0
1.7736722822;0.2692;2.22472668085;0.1024;2.0
1.76624560521;0.0528;2.47127028725;0.3056;3.0
1.77529903004;0.1052;2.41631499746;0.4796;3.0
1.77176434706;0.0712;2.63155407218;0.474;4.0
1.76862198642;0.0156;2.55913907813;0.6876;4.0
1.76716353972;0.0268;2.45297076076;0.9024;3.0
1.76857320751;0.0252;2.61003557434;0.4184;4.0
1.76809694649;0.0352;2.63711564103;0.314;4.0
1.76618642148;0.0024;2.73497484906;0.6336;5.0
1.77528935982;0.2516;2.21802069917;0.2692;2.0
1.77854996185;0.2836;2.41344205276;0.0872;3.0
1.76583011489;0.0228;2.6448018414;0.8996;5.0
1.77011605255;0.1636;2.88912128224;0.3004;7.0
1.76715293079;0.0152;2.55952336663;0.7192;4.0
1.76877342762;0.0908;2.69940496156;0.8516;5.0
1.76898173584;0.1572;2.40158489666;0.6376;3.0
1.7721922844;0.024;2.60157206683;0.4484;4.0
1.77469275593;0.2228;2.84588457591;0.7368;6.0
1.76759030882;0.096;2.60469675008;0.8764;4.0
1.76674519988;0.0544;2.84551894713;0.5576;6.0
1.76046917441;0.0184;2.22335006927;0.1736;2.0
1.77258038565;0.0176;2.42440527375;0.9476;3.0
1.77028561443;0.0332;2.75292191675;0.8392;7.0
1.77575824192;0.0788;2.64295169932;0.9464;5.0
1.76735407976;0.0056;2.61289667617;0.7192;4.0
1.76468990141;0.0164;2.39332212631;0.6732;3.0
1.776221261;0.1932;2.62982183437;0.894;5.0
1.77258844138;0.2744;2.77740079115;0.9224;6.0
1.77529895415;0.0604;2.65764927717;0.8244;5.0
1.77599303464;0.2048;2.81759640862;0.9012;6.0
1.77114931579;0.42;2.87626425838;0.9036;7.0
1.77385851119;0.0668;2.52453822573;0.812;4.0
1.77828608237;0.0468;2.63852963607;0.902;5.0
1.77453898859;0.2096;2.67191374396;0.7964;5.0
1.77106448102;0.2304;2.69464308058;0.2428;5.0
1.77309168493;0.082;2.56009247368;0.876;4.0
1.76509875068;0.0592;2.40829655853;0.5564;3.0
1.77268753512;0.1004;2.68162954488;0.6836;5.0
1.77404286172;0.0148;2.62850133768;0.9996;5.0
1.77119405276;0.1624;2.54160882398;0.6308;4.0
1.77372231829;0.1796;2.4021978765;0.618;3.0
1.77346974565;0.0084;2.53572568405;0.9324;4.0
1.76781763076;0.0456;2.51205826794;0.6;4.0
1.77430685973;0.174;2.42119788588;0.6684;3.0
1.77498858595;0.0372;2.41863185113;0.3124;3.0
1.77455799595;0.0348;2.68977899123;0.926;5.0
1.77070246853;0.2716;2.19323256668;0.2252;2.0
1.77404781014;0.068;2.42710850332;0.7388;3.0
1.77296629337;0.1956;2.41033451601;0.7112;3.0
1.77570399053;0.152;2.71768705806;0.9476;6.0
1.76077723811;0.0208;2.68991108587;0.9228;6.0
1.76916569944;0.08;2.39140372938;0.4688;3.0
1.77045166233;0.01;2.574041079;0.7008;4.0
1.77588842258;0.0232;2.43434513514;0.5788;3.0
1.77344837495;0.0152;2.67438224875;0.9008;5.0
1.77024115123;0.2668;2.75770672997;0.7552;6.0
1.76349546379;0.026;2.58861203996;0.6528;4.0
1.77293411974;0.5964;2.3736713225;0.2292;3.0
1.77266188841;0.1868;2.75216943059;0.9828;6.0
1.77132561297;0.1348;2.54840460115;0.4728;4.0
1.77815848196;0.468;2.36081965762;0.724;3.0
1.77927284799;0.04;2.74895938469;0.8092;5.0
1.77246215159;0.0584;2.41974495996;0.7276;3.0
1.77690280092;0.4128;2.78311337595;0.4964;6.0
1.77169307012;0.1904;2.74435335096;0.9756;6.0
1.77211104682;0.0316;2.54623571832;0.246;4.0
