alpha_all;p_value_all;alpha;p_value;xmin
1.79693974519;0.064;2.49386291427;0.8784;3.0
1.79341733059;0.2492;2.93112492154;0.9152;7.0
1.78792417738;0.0544;2.60718017973;0.6856;4.0
1.79180569437;0.032;2.72274239239;0.8936;4.0
1.79351331662;0.1476;2.75208818643;0.9768;5.0
1.79297587672;0.162;2.42020904558;0.4336;3.0
1.78370352892;0.196;3.17929206739;0.474;8.0
1.79453036493;0.0464;2.59123061627;0.9504;4.0
1.79754093667;0.1816;2.44527004117;0.4324;3.0
1.79233728168;0.0516;2.46514561593;0.7872;3.0
1.78903342454;0.0416;2.79653377338;0.954;5.0
1.79154670053;0.0452;2.46925967256;0.2196;3.0
1.79100400153;0.0356;2.75745878112;0.7348;5.0
1.78019983135;0.0;2.91411338529;0.268;5.0
1.79108419414;0.1936;2.67433474858;0.1212;4.0
1.79493030728;0.2272;2.43540811161;0.7196;3.0
1.79426448063;0.0028;2.69115239913;0.8748;7.0
1.79671304775;0.122;2.46721265138;0.8564;3.0
1.79092198084;0.2508;2.92585333304;0.8904;6.0
1.79196720755;0.0028;2.64423762195;0.9788;4.0
1.79685560196;0.3724;2.59889792062;0.264;4.0
1.79290703959;0.1948;2.98254555004;0.3792;6.0
1.78365908938;0.018;2.83788557694;0.9448;5.0
1.79123714186;0.0192;2.92410785676;0.8056;5.0
1.78749260199;0.1732;2.47342640518;0.386;3.0
1.79426795159;0.0468;2.74613978398;0.9732;5.0
1.78981973411;0.0052;2.68959857718;0.8788;4.0
1.79545856069;0.058;2.84253543223;0.764;5.0
1.78944842342;0.1;2.46550163323;0.4324;3.0
1.79495957241;0.1724;2.83080896898;0.854;5.0
1.78729391536;0.07;3.05140633061;0.6332;7.0
1.79414666757;0.1624;2.7408926005;0.9216;5.0
1.79162108398;0.0272;2.80548869021;0.742;8.0
1.78690188346;0.0072;2.63704451117;0.8656;4.0
1.795373964;0.0544;2.48517417643;0.7256;3.0
1.78713593489;0.026;2.5040366519;0.6128;3.0
1.79476697394;0.312;2.43782409101;0.4704;3.0
1.79385465451;0.0368;2.50258449391;0.6408;3.0
1.78965499719;0.1644;2.9424957389;0.6888;6.0
1.7907346629;0.0388;2.67874035041;0.6644;4.0
1.79537301298;0.066;2.66174167714;0.7732;4.0
1.79506416711;0.1652;2.88663780857;0.97;7.0
1.7925822027;0.0424;2.64444230402;0.9128;4.0
1.79656675361;0.0764;2.50164123907;0.9216;3.0
1.79195443867;0.1088;2.72092348449;1.0;5.0
1.79044304724;0.0116;2.65267825537;0.67;4.0
1.79597610021;0.0116;2.65363955863;0.932;4.0
1.79591436719;0.0688;2.6432509027;0.8592;4.0
1.78563715105;0.0224;2.85415178778;0.824;5.0
1.79132798726;0.082;2.59775208842;0.596;4.0
1.78737909917;0.1644;2.46875462977;0.4236;3.0
1.79587240045;0.1412;2.57311864475;0.9144;4.0
1.78907759657;0.0924;2.49520496479;0.8304;3.0
1.78749393703;0.0176;2.78736436212;0.8984;5.0
1.79441436114;0.12;2.60862488894;0.9304;4.0
1.79070674903;0.0296;2.50317310193;0.5684;3.0
1.79482745882;0.1;2.7641635566;0.4228;5.0
1.78888848322;0.0816;2.67637921663;0.9592;4.0
1.79199573327;0.1528;2.47355801438;0.6684;3.0
1.79530285784;0.2464;2.71495648862;0.8644;5.0
1.79875129055;0.1176;2.47478952108;0.8152;3.0
1.79657047468;0.0216;2.66594949215;0.9736;4.0
1.7925572368;0.0452;2.49536317014;0.702;3.0
1.79262912772;0.1476;2.63919396782;0.2072;4.0
1.79174565981;0.0776;2.86299187958;0.8616;5.0
1.78590348895;0.1708;3.18553487778;0.8324;11.0
1.78791924825;0.0076;2.69589772607;0.8124;4.0
1.79562256842;0.0348;2.57088899586;0.9776;4.0
1.7857530058;0.0328;2.64963350075;0.3428;4.0
1.78476269484;0.008;2.49968291612;0.672;3.0
1.79191723597;0.1268;2.44796634222;0.1772;3.0
1.79208438844;0.1664;2.72497816125;0.83;5.0
1.79396740122;0.0004;2.64114963625;0.9344;6.0
1.79163704246;0.1576;2.72659278013;0.6216;5.0
1.79457857364;0.0212;2.50320365312;0.92;3.0
1.78850826565;0.086;2.4688533599;0.4376;3.0
1.80116700048;0.3424;2.61348968579;0.3696;4.0
1.7893318293;0.092;2.8807806991;0.4884;6.0
1.79384972275;0.0116;2.49845836935;0.3976;3.0
1.79955461185;0.0448;2.65599072885;0.9408;4.0
1.78792976348;0.2032;2.78267668179;0.7244;5.0
1.79447603624;0.1512;2.42973576557;0.5716;3.0
1.79003254557;0.0448;2.77898532466;0.6832;5.0
1.79168570763;0.1012;2.87521123592;0.898;6.0
1.79579803813;0.0392;2.75953167408;0.9008;5.0
1.79443528845;0.2;2.62944235978;0.3688;4.0
1.78643398275;0.0012;2.57817366441;0.9112;3.0
1.79187691614;0.1604;2.79136542799;0.6276;5.0
1.78691433648;0.0572;2.51755974024;0.776;3.0
1.78669399463;0.0128;2.67661926922;0.9968;4.0
1.79826298164;0.1304;2.46598891238;0.6884;3.0
1.78966404071;0.0148;2.69231615728;0.6188;4.0
1.78982379244;0.0036;2.53846773931;0.938;3.0
1.80545070332;0.144;2.60171962638;0.9264;4.0
1.79510808238;0.1912;2.42763100069;0.5836;3.0
1.79189621831;0.046;2.62043823927;0.698;4.0
1.79541643801;0.328;2.76815504708;0.9244;5.0
1.7976077962;0.084;2.74737641538;0.8236;5.0
1.7943066028;0.0188;2.47382973592;0.3188;3.0
1.79508960159;0.0284;2.64067969704;0.9416;4.0
